Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,-21.7094,164.654,1108.75,-227.562,335.838,1186.72,-218.594,232.037,1171.37,-60.9722,491.935,847.931,-30.6977,451.316,651.577,-96.5175,447.794,484.956,-151.587,373.295,238.724,-219.729,325.189,197.408,-2.79356,361.069,191.63,-19.696,104.916,819.331,32.3368,126.822,637.211,-124.917,119.676,512.43,-298.696,162.268,393.984,-374.405,199.572,424.581,-265.742,182.822,243.812
2,0,,,,-24.1894,164.657,1111.65,-229.61,336.261,1189.41,-221.078,232.644,1174.83,-65.3966,491.516,848.573,-41.8414,450.968,651.459,-109.013,447.761,485.411,-163.954,373.398,239.295,-231.792,325.415,197.997,-15.189,360.768,191.364,-15.2015,104.756,823.924,42.1586,128.255,644.589,-112.794,120.942,512.705,-283.763,162.739,387.236,-361.729,199.71,413.965,-241.016,184.201,242.404
3,0,,,,-26.4438,164.648,1114.57,-231.559,336.59,1192.05,-223.374,233.138,1178.19,-70.2573,491.045,849.26,-53.0187,450.615,651.569,-121.457,447.675,486.072,-176.322,373.488,240.035,-243.92,325.654,198.859,-27.6202,360.511,191.088,-10.9031,104.601,828.664,50.8769,129.601,651.588,-100.957,122.126,512.711,-268.067,163.254,380.166,-347.92,200.057,402.79,-215.909,185.067,240.841
4,0,-25.6059,436.117,1132.25,-28.4722,164.628,1117.5,-233.408,336.825,1194.64,-225.484,233.518,1181.47,-75.5497,490.522,849.994,-64.2277,450.256,651.906,-133.849,447.536,486.939,-188.69,373.565,240.947,-256.112,325.903,199.992,-40.0871,360.297,190.804,-6.80365,104.451,833.545,58.4918,130.859,658.205,-89.4066,123.228,512.447,-251.61,163.812,372.783,-332.977,200.61,391.066,-190.427,185.428,239.123
5,0,-28.0616,435.582,1133.47,-30.274,164.598,1120.45,-235.157,336.963,1197.18,-227.406,233.784,1184.64,-81.2617,489.945,850.777,-75.463,449.891,652.469,-146.184,447.343,488.011,-201.059,373.627,242.031,-268.367,326.16,201.4,-52.5901,360.123,190.51,-2.9111,104.309,838.556,65.004,132.027,664.434,-78.1444,124.247,511.918,-234.398,164.413,365.1,-316.906,201.363,378.82,-164.581,185.312,237.25
6,0,-30.4179,435.1,1134.68,-31.8482,164.56,1123.41,-236.802,337.005,1199.67,-229.139,233.936,1187.72,-87.3687,489.312,851.611,-86.7127,449.518,653.251,-158.453,447.095,489.286,-213.426,373.669,243.29,-280.682,326.419,203.084,-65.1301,359.985,190.206,0.758919,104.176,843.672,70.4155,133.104,670.266,-67.1749,125.186,511.129,-216.444,165.054,357.152,-299.719,202.303,366.107,-138.397,184.768,235.226
7,0,-32.6743,434.671,1135.86,-33.1929,164.518,1126.37,-238.343,336.949,1202.1,-230.68,233.974,1190.69,-93.8301,488.621,852.501,-97.9567,449.137,654.246,-170.643,446.792,490.761,-225.788,373.685,244.729,-293.048,326.669,205.048,-77.7099,359.875,189.89,4.1813,104.057,848.853,74.7314,134.086,675.682,-56.5053,126.043,510.09,-197.774,165.734,348.99,-281.437,203.41,353.014,-111.916,183.868,233.064
8,0,-34.8296,434.295,1137.01,-34.3057,164.475,1129.32,-239.773,336.791,1204.47,-232.028,233.896,1193.56,-100.587,487.869,853.45,-109.163,448.743,655.44,-182.732,446.431,492.429,-238.142,373.667,246.353,-305.457,326.896,207.297,-90.3348,359.783,189.561,7.32093,103.952,854.039,77.9616,134.969,680.66,-46.147,126.82,508.816,-178.431,166.45,340.691,-262.103,204.662,339.661,-85.2009,182.707,230.79
9,0,-36.8808,433.973,1138.14,-35.1841,164.439,1132.25,-241.088,336.53,1206.77,-233.178,233.703,1196.3,-107.564,487.056,854.46,-120.289,448.331,656.816,-194.69,446.012,494.282,-250.483,373.604,248.17,-317.892,327.083,209.834,-103.013,359.695,189.217,10.1336,103.861,859.156,80.1241,135.749,685.17,-36.1157,127.52,507.327,-158.479,167.199,332.351,-241.78,206.031,326.204,-58.335,181.391,228.454
