Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,EO,Gracilis,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
8,2,0.015564,0.0421143,0.0128174,0.0112915,0.0231934,0.0164795,0.0308228,0.0332642,0.0296021,-0.00335693,-0.0256348,0.012207,0.0747681
8,3,0.0198364,0.0192261,0.0241089,0.00213623,0.0216675,-0.00244141,0.0360107,0.017395,0.0378418,0.0244141,-0.0192261,0.0201416,0.0640869
8,4,0.0323486,0.0146484,0.0628662,0.0161743,0.0317383,0.0289917,0.0506592,0.0192261,0.0869751,0.017395,-0.0161743,0.078125,0.0723267
9,0,0.0128174,0.0192261,0.0274658,0.0143433,0.0299072,0.0152588,0.0210571,0.0213623,-0.00701904,0,-0.00518799,0.00396729,0.0689697
9,1,0.0265503,0.0222778,0.0143433,0.00305176,0.0247192,0.017395,0.0405884,0.010376,0.0161743,-0.00274658,0.00793457,0.0564575,0.0500488
9,2,0.0274658,0.00793457,0.0106812,0.0247192,0.00854492,0.0405884,0.0265503,0.0289917,0.0454712,0.00335693,-0.0125122,-0.0308228,0.0497437
9,3,0.0140381,-0.0012207,0.00976562,0.0314331,0.0271606,0.0561523,0.020752,0.0210571,0.0161743,-0.00396729,-0.0134277,0.0405884,0.0753784
9,4,0.0296021,0.00152588,0.0161743,0.00793457,0.0384521,0.0485229,0.0323486,0.0189209,0.0289917,0.0192261,-0.00366211,0.0183105,0.0473022
10,0,0.00518799,-0.00823975,0.00671387,0.03479,0.0448608,0.0491333,0.043335,0.0167847,0.0109863,-0.0494385,-0.0146484,0.00946045,0.0512695
10,1,-0.0195312,0.00488281,0.0149536,0.0198364,0.0494385,0.0411987,0.0137329,0.0286865,0.0274658,0.00946045,0.00335693,0.00396729,0.0543213
10,2,0.0100708,-0.00610352,-0.00762939,0.045166,0.038147,0.0442505,-0.0143433,0.00518799,0.0152588,0.0509644,-0.0274658,0.0088501,0.0567627
10,3,0.0137329,0.032959,0.00152588,0.0228882,0.0534058,0.0384521,0.0238037,0.0231934,0.0186157,0.0454712,-0.0125122,0.0177002,0.057373
10,4,0.0189209,0.0299072,-0.010376,0.0149536,0.00823975,0.0454712,0.0198364,0.0296021,0.0332642,0.0302124,-0.0283813,0.0286865,0.0531006
11,0,0.0204468,0.072937,-0.00488281,0.0500488,0.0299072,0.0292969,0.038147,0.0311279,0.0662231,0.0299072,-0.0222778,0.0201416,0.0479126
11,1,-0.0219727,0.0866699,-0.0241089,-0.0305176,0.0280762,0.0827026,0.0579834,0.00793457,0.055542,0.0375366,-0.0238037,0.0234985,-0.0268555
11,2,0.0350952,0.0836182,0.0244141,0.0247192,0.0424194,0.0167847,0.0268555,0.0134277,0.0335693,0.0430298,-0.0320435,0.0735474,-0.071106
11,3,0.0198364,0.0521851,0.000915527,0.0375366,0.0357056,0.062561,0.0421143,0.0372314,0.0268555,0.0180054,-0.0366211,0.0106812,-0.0570679
11,4,0.0341797,0.00732422,-0.00946045,0.0357056,0.0292969,0.071106,0.0848389,0.0283813,0.0192261,0.0842285,-0.0256348,0.0271606,0.0732422
12,0,0.0149536,-0.00946045,-0.0152588,0.0613403,0.0372314,0.0912476,0.0109863,0.0149536,0.0259399,-0.0323486,-0.0213623,0.00701904,0.0271606
12,1,0.00671387,-0.0534058,-0.00213623,0.0424194,0.0289917,0.0628662,0.0314331,0.0216675,0.0219727,0.0592041,-0.0134277,0.00610352,-0.0695801
12,2,0.0088501,-0.0848389,-0.0265503,0.0582886,0.0164795,0.0424194,0.0418091,0.0183105,0.0576782,0.0335693,-0.0201416,0.0674438,0.0665283
12,3,0.0350952,-0.0775146,-0.0234985,0.0561523,0.0350952,0.0427246,0.0369263,0.00488281,0.0283813,0.0411987,-0.0238037,0.000915527,0.0686646
