Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,69.2261,468.485,1150.24,80.8679,194.886,1156.11,-135.849,358.513,1215.99,-122.835,256.636,1208.55,-18.2562,513.725,869.019,-43.0917,482.025,672.789,-122.057,480.588,512.952,-184.141,411.833,266.368,-256.9,368.403,236.921,-46.1768,394.111,190.259,138.075,131.895,886.952,199.293,164.085,707.579,117.829,150.749,502.686,37.698,184.84,301.622,-41.9945,225.19,274.673,161.963,192.689,221.989
2,0,67.9646,467.595,1150.68,81.2616,194.267,1157.93,-135.765,357.476,1218.29,-122.622,255.754,1210.57,-22.8458,512.694,870.056,-49.5763,480.867,674.28,-129.603,479.731,514.981,-192.847,411.27,268.532,-265.554,367.74,239.965,-56.1884,393.696,189.971,136.342,131.289,888.478,195.928,164.343,708.058,130.217,151.529,502.19,65.4085,185.928,297.57,-12.5677,224.858,265.74,192.377,196.084,224.287
3,0,67.0017,466.71,1150.98,81.886,193.652,1159.44,-135.487,356.383,1220.22,-122.194,254.798,1212.25,-26.9495,511.678,870.916,-55.5791,479.762,675.573,-136.804,478.96,516.906,-201.541,410.838,270.714,-274.259,367.276,243.069,-66.2365,393.295,189.713,134.807,130.62,889.543,192.992,164.678,708.319,141.517,152.395,501.55,90.748,187.211,293.842,14.413,224.898,257.717,220.418,199.63,226.168
4,0,66.337,465.83,1151.12,82.7407,193.042,1160.65,-135.016,355.235,1221.76,-121.55,253.767,1213.57,-30.5673,510.677,871.598,-61.0988,478.709,676.667,-143.658,478.275,518.725,-210.223,410.537,272.914,-283.013,367.008,246.232,-76.3213,392.907,189.486,133.474,129.89,890.149,190.485,165.09,708.363,151.727,153.348,500.765,113.713,188.689,290.433,38.9419,225.309,250.599,246.076,203.319,227.625
5,0,65.9693,464.955,1151.12,83.8248,192.435,1161.54,-134.352,354.031,1222.92,-120.691,252.662,1214.55,-33.6985,509.692,872.103,-66.132,477.711,677.562,-150.164,477.675,520.439,-218.89,410.365,275.131,-291.816,366.936,249.456,-86.4436,392.535,189.29,132.354,129.113,890.305,188.406,165.578,708.19,160.847,154.386,499.835,134.295,190.358,287.335,61.0037,226.087,244.37,269.325,207.139,228.646
6,0,65.8959,464.085,1150.96,85.1364,191.832,1162.13,-133.498,352.774,1223.71,-119.62,251.485,1215.19,-36.3422,508.722,872.427,-70.6713,476.77,678.254,-156.315,477.16,522.046,-227.536,410.321,277.367,-300.663,367.057,252.745,-96.6049,392.179,189.124,131.469,128.311,890.031,186.748,166.142,707.801,168.877,155.508,498.755,152.478,192.211,284.528,80.5716,227.221,238.999,290.119,211.061,229.209
7,0,66.1124,463.218,1150.66,86.6719,191.234,1162.42,-132.457,351.467,1224.11,-118.34,250.238,1215.49,-38.4971,507.768,872.567,-74.7041,475.894,678.737,-162.102,476.729,523.544,-236.15,410.401,279.622,-309.546,367.364,256.106,-106.807,391.844,188.988,130.853,127.519,889.354,185.503,166.782,707.197,175.816,156.708,497.52,168.244,194.236,281.982,97.6073,228.694,234.44,308.39,215.04,229.286
8,0,66.6114,462.354,1150.2,88.4258,190.638,1162.41,-131.234,350.112,1224.15,-116.858,248.925,1215.45,-40.1617,506.831,872.516,-78.2115,475.09,679.005,-167.508,476.384,524.931,-244.71,410.601,281.899,-318.447,367.844,259.551,-117.053,391.531,188.88,130.547,126.784,888.315,184.656,167.493,706.379,181.668,157.981,496.125,181.571,196.416,279.658,112.067,230.48,230.623,324.056,219.018,228.85
9,0,67.3823,461.491,1149.6,90.3895,190.044,1162.11,-129.838,348.716,1223.83,-115.182,247.55,1215.1,-41.3344,505.914,872.269,-81.1672,474.372,679.047,-172.509,476.122,526.203,-253.188,410.912,284.199,-327.338,368.483,263.096,-127.344,391.246,188.794,130.6,126.162,886.966,184.186,168.272,705.351,186.437,159.317,494.563,192.442,198.726,277.507,123.908,232.543,227.463,337.032,222.92,227.883
10,0,68.4108,460.627,1148.85,92.5515,189.452,1161.53,-128.279,347.286,1223.16,-113.323,246.12,1214.44,-42.0135,505.02,871.817,-83.538,473.756,678.851,-177.074,475.945,527.356,-261.54,411.322,286.528,-336.176,369.255,266.763,-137.682,390.988,188.725,131.059,125.712,885.364,184.06,169.107,704.115,190.137,160.704,492.83,200.858,201.135,275.476,133.103,234.835,224.862,347.25,226.665,226.384
11,0,69.6786,459.759,1147.95,94.8968,188.86,1160.7,-126.571,345.831,1222.15,-111.299,244.644,1213.49,-42.1972,504.157,871.151,-85.2843,473.259,678.404,-181.161,475.853,528.385,-269.711,411.817,288.892,-344.901,370.131,270.583,-148.067,390.758,188.659,131.962,125.487,883.572,184.241,169.987,702.675,192.789,162.126,490.923,206.838,203.607,273.511,139.65,237.299,222.711,354.669,230.171,224.381
12,0,71.163,458.886,1146.92,97.4063,188.267,1159.62,-124.73,344.361,1220.83,-109.126,243.131,1212.28,-41.8836,503.334,870.262,-86.3613,472.903,677.691,-184.721,475.849,529.289,-277.632,412.382,291.303,-353.431,371.073,274.591,-158.495,390.549,188.585,133.327,125.527,881.65,184.68,170.892,701.039,194.424,163.562,488.846,210.434,206.097,271.561,143.586,239.867,220.904,359.302,233.361,221.932
