Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,24.2292,438.342,1141.63,59.269,177.477,1141.92,-172.902,357.622,1200.92,-152.041,223.76,1195.24,-67.3829,498.908,848.138,-100.953,480.922,653.687,-233.229,488.773,537.269,,,,-461.072,399.319,369.219,-370.495,400.459,188.829,69.6531,119.138,862.501,98.074,159.213,676.921,73.325,154.658,464.596,64.948,199.617,249.198,-1.55656,232.54,208.478,210.103,214.278,201.569
2,0,23.6051,436.924,1137.1,58.7032,174.538,1139.25,-174.037,356.59,1195.91,-153.214,223.153,1192.6,-60.0655,498.794,844.422,-90.8949,482.327,648.709,-223.975,491.103,536.964,-399.106,438.425,348.162,-456.496,400.134,381.18,-380.564,400.355,194.409,70.0501,116.736,860.486,97.2761,156.882,673.999,68.8317,153.089,462.358,53.4299,198.989,248.19,-14.1191,231.933,208.344,197.394,214.095,200.468
3,0,22.9585,435.562,1133.09,58.0296,171.788,1136.86,-175.14,355.547,1191.49,-154.375,222.509,1190.31,-53.2662,498.64,841.137,-80.778,483.597,644.449,-214.486,493.183,536.869,-395.691,439.095,356.621,-451.464,400.521,392.152,-387.654,400.647,200.156,69.5404,114.384,858.476,95.6749,154.647,671.205,63.7181,151.618,460.227,41.8793,198.38,247.237,-26.6053,231.371,208.23,184.766,213.878,199.452
4,0,22.2897,434.255,1129.58,57.2485,169.227,1134.73,-176.21,354.495,1187.66,-155.524,221.829,1188.35,-46.984,498.445,838.282,-70.6039,484.733,640.908,-204.766,495.014,536.983,-391.493,439.549,364.559,-445.975,400.487,402.126,-391.765,401.326,206.053,68.1302,112.083,856.474,93.2717,152.51,668.54,57.9853,150.245,458.204,30.2958,197.793,246.338,-39.0159,230.855,208.135,172.219,213.629,198.52
5,0,21.5987,433.004,1126.58,56.3607,166.853,1132.86,-177.247,353.435,1184.42,-156.661,221.114,1186.75,-41.2157,498.21,835.859,-60.3763,485.734,638.086,-194.819,496.593,537.306,-386.51,439.79,371.967,-440.033,400.047,411.087,-392.901,402.367,212.055,65.8356,109.838,854.488,90.0699,150.472,666.006,51.6369,148.969,456.293,18.6787,197.227,245.496,-51.353,230.383,208.06,159.752,213.35,197.672
6,0,20.8858,431.804,1124.08,55.3683,164.664,1131.26,-178.252,352.371,1181.76,-157.787,220.364,1185.48,-35.9527,497.934,833.87,-50.1027,486.599,635.983,-184.655,497.917,537.837,-380.741,439.821,378.825,-433.64,399.231,418.999,-391.076,403.726,218.082,62.689,107.659,852.529,86.0769,148.539,663.61,44.6799,147.792,454.499,7.0262,196.683,244.711,-63.6205,229.955,208.007,147.361,213.045,196.907
7,0,20.1515,430.653,1122.08,54.2742,162.655,1129.92,-179.226,351.308,1179.67,-158.901,219.581,1184.55,-31.1783,497.619,832.322,-39.7962,487.323,634.599,-174.293,498.983,538.573,-374.185,439.65,385.089,-426.802,398.087,425.811,-386.328,405.326,224.013,58.7424,105.559,850.62,81.3049,146.719,661.361,37.126,146.714,452.832,-4.6643,196.162,243.988,-75.8248,229.571,207.981,135.042,212.719,196.22
8,0,19.3965,429.547,1120.57,53.083,160.821,1128.84,-180.169,350.256,1178.15,-160.003,218.768,1183.96,-26.864,497.268,831.222,-29.4765,487.904,633.931,-163.757,499.783,539.508,-366.84,439.292,390.694,-419.521,396.678,431.451,-378.725,407.068,229.694,54.0688,103.559,848.787,75.7722,145.023,659.272,28.9925,145.736,451.306,-16.3963,195.664,243.333,-87.9749,229.227,207.986,122.787,212.382,195.609
9,0,18.6218,428.478,1119.54,51.8007,159.152,1128,-181.084,349.223,1177.18,-161.094,217.929,1183.7,-22.9671,496.884,830.58,-19.1718,488.336,633.974,-153.083,500.312,540.634,-358.707,438.764,395.549,-411.797,395.081,435.83,-368.384,408.828,234.954,48.7613,101.683,847.064,69.504,143.461,657.361,20.3025,144.86,449.939,-28.1741,195.192,242.755,-100.082,228.922,208.032,110.585,212.041,195.07
10,0,17.8287,427.443,1118.98,50.4351,157.641,1127.39,-181.973,348.221,1176.74,-162.173,217.068,1183.76,-19.4297,496.474,830.41,-8.91881,488.613,634.719,-142.313,500.566,541.938,-349.789,438.09,399.546,-403.626,393.376,438.85,-355.47,410.475,239.62,42.9287,99.9584,845.487,62.5325,142.048,655.647,11.0849,144.084,448.75,-40.0021,194.746,242.265,-112.16,228.652,208.132,98.423,211.705,194.597
11,0,17.0191,426.434,1118.87,48.9948,156.274,1127.01,-182.84,347.261,1176.8,-163.24,216.193,1184.14,-16.1805,496.045,830.723,1.23626,488.73,636.148,-131.499,500.542,543.398,-340.095,437.296,402.564,-394.997,391.643,440.411,-340.2,411.883,243.538,36.6894,98.4123,844.092,54.8973,140.795,654.152,1.37434,143.409,447.762,-51.8847,194.328,241.877,-124.223,228.412,208.303,86.2856,211.383,194.185
12,0,16.1952,425.446,1119.19,47.49,155.043,1126.85,-183.686,346.355,1177.35,-164.294,215.31,1184.81,-13.1388,495.607,831.531,11.2378,488.681,638.234,-120.698,500.239,544.988,-329.639,436.408,404.484,-385.888,389.954,440.42,-322.834,412.949,246.586,30.1647,97.0712,842.914,46.645,139.711,652.897,-8.7892,142.833,446.996,-63.8256,193.939,241.608,-136.285,228.197,208.565,74.1556,211.08,193.828
13,0,15.36,424.478,1119.92,45.9315,153.934,1126.87,-184.517,345.512,1178.36,-165.335,214.429,1185.77,-10.2201,495.169,832.84,21.021,488.46,640.942,-109.973,499.664,546.673,-318.44,435.455,405.195,-376.269,388.362,438.8,-303.663,413.61,248.69,23.4703,95.9569,841.98,37.8289,138.804,651.903,-19.3612,142.351,446.475,-75.8269,193.58,241.478,-148.359,228.002,208.943,62.0153,210.801,193.519
14,0,14.5176,423.527,1121.03,44.3306,152.937,1127.07,-185.336,344.741,1179.78,-166.362,213.559,1187,-7.34442,494.743,834.647,30.5129,488.065,644.222,-99.3853,498.828,548.407,-306.523,434.462,404.611,-366.1,386.9,435.499,-282.989,413.852,249.825,16.7096,95.0845,841.309,28.5083,138.074,651.19,-30.2932,141.96,446.22,-87.889,193.25,241.508,-160.457,227.819,209.468,49.8473,210.549,193.254
15,0,13.6729,422.596,1122.5,42.6988,152.042,1127.44,-186.146,344.048,1181.58,-167.372,212.712,1188.48,-4.44394,494.339,836.943,39.6332,487.495,648.012,-88.9995,497.746,550.141,-293.912,433.449,402.676,-355.328,385.579,430.499,-261.111,413.715,250.017,9.96827,94.4612,840.913,18.748,137.518,650.771,-41.5334,141.652,446.246,-100.01,192.949,241.722,-172.586,227.645,210.17,37.6352,210.321,193.024
16,0,12.8327,421.689,1124.29,41.0476,151.242,1127.94,-186.949,343.435,1183.73,-168.365,211.9,1190.19,-1.46987,493.966,839.706,48.2959,486.752,652.239,-78.8753,496.443,551.816,-280.632,432.436,399.371,-343.891,384.387,423.817,-238.301,413.289,249.336,3.30983,94.0851,840.794,8.61758,137.126,650.657,-53.0277,141.418,446.569,-112.184,192.674,242.14,-184.75,227.472,211.084,25.3648,210.115,192.823
17,0,12.005,420.813,1126.39,39.3883,150.53,1128.58,-187.745,342.906,1186.19,-169.335,211.135,1192.11,1.60269,493.631,842.904,56.4116,485.843,656.816,-69.0676,494.945,553.369,-266.699,431.435,394.722,-331.716,383.295,415.514,-214.795,412.705,247.886,-3.22526,93.9452,840.945,-1.80989,136.885,650.855,-64.7201,141.25,447.198,-124.405,192.425,242.787,-196.947,227.296,212.245,13.0241,209.924,192.644
