Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,72.9066,435.876,1129.53,123.177,168.731,1130.89,-113.753,312.831,1198.86,-89.1749,208.521,1195.98,4.65418,499.924,848.014,-6.75593,486.795,650.057,-131.739,464.136,488.047,-284.982,392.45,337.159,-356.956,341.014,357.652,-243.27,365.656,188.807,134.303,119.645,857.919,150.312,161.263,670.09,116.934,162.29,461.104,73.2989,205.391,247.877,-3.84349,237.581,200.848,215.854,230.489,195.182
2,0,73.105,435.033,1127.6,122.572,167.411,1130.41,-113.856,312.195,1197.22,-89.7645,207.923,1195.4,10.2108,501.026,846.884,0.841159,489.009,648.567,-125.129,466.678,489.334,-282.712,393.752,342.59,-351.468,341.251,367.853,-250.642,365.613,191.91,129.868,116.427,855.217,147.12,159.216,667.903,110.287,160.681,459.231,64.5051,204.822,247.246,-12.9809,237.198,200.797,206.631,230.057,194.766
3,0,73.2328,434.205,1125.96,121.855,166.121,1130.02,-114.05,311.63,1195.82,-90.445,207.387,1194.93,15.3372,501.89,845.944,8.47151,490.922,647.455,-118.3,468.946,490.666,-280.367,395.268,348.468,-345.978,341.482,377.141,-255.857,366.162,195.278,125.399,113.475,852.854,143.45,157.278,665.913,103.464,159.196,457.556,55.7278,204.271,246.681,-22.0744,236.846,200.782,197.452,229.625,194.379
4,0,73.2897,433.393,1124.61,121.025,164.861,1129.73,-114.336,311.135,1194.66,-91.2163,206.916,1194.59,20.0345,502.518,845.194,16.1341,492.536,646.72,-111.254,470.939,492.044,-277.708,396.921,354.577,-340.488,341.709,385.511,-258.917,367.296,198.901,120.893,110.789,850.83,139.303,155.45,664.121,96.4681,157.834,456.077,46.9665,203.738,246.183,-31.1246,236.525,200.805,188.315,229.192,194.021
5,0,73.2757,432.598,1123.55,120.084,163.632,1129.54,-114.714,310.71,1193.72,-92.078,206.508,1194.37,24.3054,502.912,844.637,23.8257,493.851,646.364,-103.994,472.659,493.465,-274.4,398.569,360.581,-334.997,341.944,392.952,-259.824,368.992,202.755,116.35,108.373,849.14,134.687,153.734,662.527,89.301,156.598,454.795,38.2198,203.224,245.752,-40.1334,236.236,200.867,179.218,228.761,193.692
6,0,73.1905,431.818,1122.78,119.031,162.435,1129.45,-115.183,310.355,1193.02,-93.0294,206.163,1194.28,28.1564,503.078,844.272,31.54,494.87,646.383,-96.5252,474.107,494.927,-270.257,400.054,366.22,-329.507,342.205,399.441,-258.588,371.21,206.795,111.767,106.228,847.777,129.614,152.134,661.13,81.9694,155.489,453.709,29.4854,202.732,245.391,-49.1043,235.977,200.972,170.158,228.334,193.393
7,0,73.0339,431.055,1122.3,117.867,161.27,1129.46,-115.742,310.07,1192.55,-94.0694,205.881,1194.31,31.5995,503.025,844.104,39.2654,495.599,646.776,-88.8603,475.289,496.425,-265.34,401.278,371.414,-324.015,342.524,404.945,-255.235,373.883,210.948,107.139,104.358,846.727,124.103,150.655,659.929,74.4831,154.51,452.815,20.7592,202.266,245.103,-58.0426,235.752,201.126,161.128,227.916,193.123
8,0,72.8055,430.31,1122.1,116.595,160.139,1129.56,-116.391,309.853,1192.31,-95.1959,205.663,1194.47,34.6541,502.769,844.135,46.9845,496.046,647.538,-81.0155,476.211,497.951,-259.793,402.245,376.164,-318.512,342.939,409.421,-249.81,376.918,215.118,102.464,102.769,845.969,118.187,149.306,658.923,66.8555,153.665,452.112,12.0358,201.831,244.893,-66.9558,235.559,201.338,152.118,227.512,192.881
9,0,72.5051,429.583,1122.19,115.216,159.045,1129.75,-117.127,309.704,1192.29,-96.4063,205.506,1194.74,37.3486,502.33,844.369,54.6728,496.219,648.66,-73.0137,476.884,499.496,-253.671,403.058,380.409,-312.977,343.498,412.819,-242.389,380.201,219.188,97.7391,101.464,845.478,111.903,148.097,658.109,59.103,152.957,451.597,3.30852,201.434,244.766,-75.8531,235.402,201.621,143.119,227.129,192.666
