Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,,,,138.385,165.433,1158.94,-65.7765,349.09,1219.42,-62.3515,243.479,1213.42,51.8197,488.608,863.55,34.3991,460.576,667.164,-6.68925,451.221,462.774,-67.2389,395.355,247.032,-135.939,347.316,206.324,81.2902,393.168,191.75,172.461,104.075,880.479,206.579,138.189,692.137,168.804,131.133,487.195,137.203,171.071,243.025,67.3134,226.337,216.401,272.364,177.184,219.002
2,0,,,,139.976,164.647,1157.64,-65.8766,346.472,1218.07,-61.6005,241.008,1211.78,49.1652,487.785,863.536,26.9629,459.651,667.615,-14.4943,450.784,463.417,-73.6445,394.984,247.429,-142.279,346.984,206.806,74.7355,393.137,191.625,171.086,103.424,878.482,206.43,139.406,690.979,169.946,131.677,485.546,141.479,171.098,241.065,70.9719,225.604,214.784,277.628,178.65,216.55
3,0,,,,141.482,163.824,1156.37,-66.0023,343.876,1216.79,-60.8946,238.546,1210.24,46.7048,486.969,863.486,20.2519,458.752,667.946,-21.7719,450.349,463.982,-80.0504,394.649,247.878,-148.668,346.701,207.319,68.1551,393.105,191.499,169.887,102.937,876.538,206.019,140.463,689.76,170.47,132.191,483.89,144.333,171.184,239.206,73.2983,224.974,213.256,281.366,179.998,214.235
4,0,,,,142.903,162.963,1155.12,-66.1538,341.304,1215.58,-60.2339,236.093,1208.8,44.4393,486.16,863.401,14.267,457.879,668.159,-28.5213,449.917,464.47,-86.4555,394.35,248.378,-155.106,346.466,207.864,61.5499,393.072,191.373,168.86,102.612,874.649,205.345,141.359,688.48,170.377,132.674,482.225,145.773,171.328,237.448,74.3016,224.445,211.816,283.588,181.23,212.06
5,0,,,,144.239,162.064,1153.89,-66.3314,338.756,1214.43,-59.6187,233.649,1207.46,42.3706,485.356,863.279,9.0107,457.032,668.252,-34.7403,449.488,464.881,-92.8569,394.088,248.931,-161.593,346.281,208.447,54.9225,393.037,191.247,167.996,102.44,872.815,204.407,142.093,687.141,169.673,133.123,480.554,145.826,171.527,235.791,74.0057,224.017,210.466,284.322,182.342,210.028
6,0,,,,145.489,161.128,1152.69,-66.5356,336.231,1213.36,-59.0498,231.213,1206.22,40.5032,484.558,863.121,4.48813,456.213,668.226,-40.4246,449.063,465.216,-99.2486,393.863,249.539,-168.124,346.144,209.076,48.278,393.001,191.121,167.278,102.403,871.038,203.205,142.662,685.746,168.371,133.536,478.88,144.539,171.775,234.236,72.4581,223.684,209.207,283.62,183.334,208.145
7,0,,,,146.651,160.154,1151.51,-66.7676,333.731,1212.35,-58.5284,228.788,1205.09,38.8439,483.761,862.923,0.707304,455.427,668.082,-45.5673,448.645,465.479,-105.62,393.676,250.208,-174.693,346.055,209.768,41.6237,392.964,190.995,166.677,102.474,869.322,201.738,143.062,684.3,166.49,133.905,477.21,141.991,172.064,232.786,69.7338,223.44,208.04,281.569,184.203,206.417
8,0,,,,147.723,159.145,1150.36,-67.029,331.255,1211.41,-58.0565,226.373,1204.06,37.4036,482.963,862.683,-2.32068,454.677,667.822,-50.1589,448.238,465.676,-111.958,393.53,250.947,-181.289,346.013,210.55,34.9695,392.923,190.871,166.152,102.613,867.672,200.006,143.288,682.812,164.06,134.223,475.552,138.292,172.381,231.441,65.9376,223.275,206.97,278.288,184.945,204.853
9,0,135.463,431.384,1143.7,148.702,158.1,1149.23,-67.3222,328.805,1210.54,-57.6367,223.969,1203.14,36.1966,482.16,862.399,-4.58216,453.969,667.447,-54.1869,447.845,465.813,-118.24,393.425,251.769,-187.895,346.013,211.458,28.3265,392.876,190.746,165.649,102.772,866.092,198.008,143.334,681.292,161.117,134.479,473.918,133.58,172.709,230.206,61.201,223.176,206,273.928,185.559,203.461
