Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,EO,Gracilis,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
4,0,0.0152588,0.0274658,0.00610352,0.0369263,-0.00976562,0.0317383,0.0222778,0.0323486,0.0219727,0.0128174,-0.0238037,0.0250244,0.0234985
4,1,0.038147,0.0360107,0.0088501,0.0250244,0.0274658,0.0198364,0.0109863,0.00518799,0.0213623,-0.00579834,-0.0350952,0.0234985,0.0952148
4,2,0.0183105,0.0265503,0.0256348,-0.0195312,0.0253296,0.0234985,0.0308228,0.0177002,0.0259399,0.0125122,-0.0286865,0.0289917,0.0335693
4,3,0.0128174,0.0372314,0.0341797,0.0259399,0.0222778,0.0170898,0.032959,0.022583,0.0216675,-0.0109863,-0.0238037,0.0299072,0.0445557
4,4,0.0350952,0.0012207,0.0311279,0.0161743,-0.0189209,0.0268555,0.020752,0.0967407,0.0253296,0.00793457,-0.0360107,0.0161743,0.0286865
5,0,0.0271606,0.0445557,0.0408936,0.0485229,0.0332642,0.0299072,0.00427246,-0.027771,0.00793457,0.0192261,-0.0109863,0.0268555,0.038147
5,1,0.0247192,0.0448608,0.0421143,0.0439453,0.032959,0.00640869,0.0198364,0.0167847,0.00732422,0.00549316,-0.0335693,0.0271606,0.0271606
5,2,0.0442505,0.0317383,0.0738525,0.0112915,0.0305176,0.0177002,0.0222778,0.0128174,0.0109863,0.0283813,-0.0332642,0.0219727,0.0238037
5,3,0.0405884,0.022583,0.0558472,0.06073,0.0299072,0.0250244,0.0146484,0.00366211,-0.00579834,0.0180054,-0.0134277,0.0283813,0.0479126
5,4,0.0247192,0.0247192,0.09552,0.0396729,0.0350952,0.0326538,0.0195312,0.0213623,-0.00244141,0.0158691,-0.0308228,0.0476074,0.0274658
6,0,0.0357056,0.0436401,0.0512695,0.0521851,0.0231934,0.0250244,0.0241089,0.00701904,0.0137329,-0.00244141,-0.0375366,0.0286865,0.0683594
6,1,0.020752,0.0314331,0.0628662,0.0418091,0.0259399,0.03479,0.0344849,0.00549316,0.0149536,0.0134277,-0.0204468,0.0210571,0.0439453
6,2,0.0317383,0.0387573,0.065918,0.0390625,0.0323486,0.0582886,0.0112915,0.00793457,0.0463867,0.0161743,-0.0335693,0.0704956,0.0350952
6,3,0.00457764,-0.0292969,0.0189209,0.0387573,0.0131226,0.0161743,0.0238037,-0.00396729,0.00640869,0.012207,-0.020752,0.0314331,0.0363159
6,4,0.0527954,0.0192261,0.0231934,0.0430298,0.0250244,0.0286865,0.0137329,0.0238037,0.0302124,0.00427246,-0.0259399,0.0292969,0.0396729
7,0,0.027771,0.0234985,0.0131226,0.0485229,0.0247192,0.0408936,0.0161743,0.00976562,-0.00640869,0.0198364,-0.0262451,0.0427246,0.0299072
7,1,0.0195312,0.0292969,0.0241089,0.0485229,0.0338745,0.0283813,0.0534058,0.0183105,0.0177002,0.0534058,-0.015564,0.0308228,0.0238037
7,2,0.0357056,0.032959,-0.0012207,0.0296021,0.0234985,0.0137329,0.017395,0.0201416,0.0146484,0.0302124,-0.0552368,0.0280762,0.0518799
7,3,0.027771,0.0222778,-0.00183105,0.0424194,0.0720215,0.0167847,0.0128174,0.00457764,0.00823975,0.0216675,-0.0622559,0.0143433,0.0268555
7,4,0.0299072,0.0183105,0.00610352,0.027771,0.00915527,0.0299072,0.0112915,-0.039978,0.022583,0.0088501,-0.0250244,0.0335693,0.0363159
8,0,0.0283813,-0.0292969,0.0253296,0.0363159,-0.0216675,0.027771,0.00976562,0.0524902,0.0283813,0.00701904,-0.0180054,0.0238037,0.0549316
8,1,0.0170898,0.0292969,0.0256348,0.0457764,0.0402832,0.0302124,0.0201416,0.0161743,0.00946045,0.0222778,-0.0164795,0.0238037,0.0234985
8,2,0.0274658,0.0314331,0.0546265,0.032959,0.0335693,0.0610352,0.00823975,0.0274658,0.0149536,0.0112915,-0.0302124,0.0189209,0.0372314
8,3,0.0387573,0.0247192,0.0302124,0.0479126,0.0408936,0.0244141,0.0323486,0.0216675,0.0180054,0.0442505,-0.0198364,0.0253296,0.0405884
8,4,0.0152588,0.0244141,0.0448608,0.0323486,0.0158691,0.0280762,0.0241089,0.0152588,0.0119019,0.0231934,-0.0222778,0.022583,0.0393677
9,0,0.0552368,0.0140381,0.0363159,-0.020752,0.0271606,0.0323486,0.0280762,0.0302124,0.0195312,0.0189209,-0.0799561,0.0262451,0.0253296
9,1,-0.0305176,0.0213623,0.0515747,0.0430298,0.0265503,0.0283813,0.027771,0.00488281,0.0204468,0.0250244,-0.0323486,0.020752,0.0384521
9,2,0.0167847,0.0738525,0.0579834,0.0314331,-0.0219727,0.057373,0.0134277,0.0192261,0.0134277,0.0286865,-0.0228882,0.0283813,0.0311279
9,3,0.0177002,0.0234985,0.0628662,0.0396729,0.0405884,0.0204468,0.0314331,0.0387573,-0.0494385,0.0158691,-0.0299072,0.0408936,0.0149536
9,4,0.0323486,0.0360107,0.0598145,0.0363159,0.0228882,0.0219727,0.00488281,0.00579834,0.00671387,-0.00488281,-0.0289917,0.0271606,0.0427246
10,0,0.022583,0.0146484,0.0427246,0.0274658,0.0259399,0.0268555,0.0253296,0.00915527,0.072937,0.0140381,-0.0289917,0.00518799,0.0234985
10,1,0.0088501,0.0280762,0.0527954,0.0292969,0.0286865,0.0338745,0.0210571,0.0250244,0.0170898,0.00366211,-0.022583,0.0228882,0.0793457
10,2,0.022583,0.0271606,0.0405884,0.0430298,0.0320435,0.0402832,0.0354004,0.00579834,-0.0164795,0.0247192,-0.00823975,0.0634766,0.00915527
10,3,0.0222778,0.0387573,0.0286865,0.0445557,0.0723267,0.0369263,0.0247192,0.0418091,-0.0137329,0.0326538,-0.0308228,0.017395,0.0271606
10,4,0.0115967,0.0332642,0.0323486,0.043335,0.0332642,0.0259399,0.0149536,0.0189209,0.0180054,0.0125122,-0.0228882,0.0180054,0.0363159
11,0,0.0283813,0.0198364,0.0170898,-0.00244141,0.0259399,0.0280762,0.0265503,0.0128174,0.00610352,-0.00244141,-0.0292969,0.00793457,0.0369263
11,1,0.0262451,0.0369263,0.0128174,0.0360107,0.0622559,0.010376,0.0299072,0.0195312,0.0354004,0.0106812,-0.0183105,0.000305176,0.0292969
11,2,0.0198364,0.0375366,0.00244141,0.0283813,0.0302124,0.0210571,0.0241089,0.00427246,0.0100708,0.0189209,-0.0112915,0.0186157,0.0231934
11,3,-0.0192261,0.0265503,-0.00610352,0.00396729,0.0305176,0.0204468,-0.0213623,0.00976562,0.0119019,0.0222778,-0.0244141,0.0292969,0.0186157
11,4,0.0338745,0.0271606,0.0149536,0.0204468,0.038147,0.0268555,0.0177002,0.0488281,0.0100708,0.0222778,-0.0479126,0.00915527,0.0296021
12,0,-0.0234985,0.0338745,-0.00183105,0.0292969,0.0213623,0.0332642,0.0296021,0.0247192,0.0271606,0.0317383,-0.00610352,0.00946045,0.0268555
12,1,0.0341797,0.0167847,0.00213623,0.0305176,0.0479126,0.0192261,0.0268555,0.0366211,0.0128174,0.0106812,-0.0247192,0.0100708,0.0177002
