Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,115.595,385.089,1156.94,154.741,109.852,1136.66,-80.7099,264.113,1208.03,-59.1691,160.121,1202.41,113.817,466.726,881.489,175.693,458.65,695.517,76.2009,463.664,561.989,-41.9374,413.227,329.881,-116.841,357.392,306.041,65.0337,423.328,225.66,84.9229,70.3201,848.362,40.6601,107.125,660.797,1.50756,116.967,452.136,-8.46103,179.472,241.591,-77.1514,222.783,200.393,140.257,193.308,194.713
2,0,114.217,384.672,1157.96,153.747,109.889,1136.58,-82.0915,263.4,1208.39,-60.2163,159.452,1202.62,114.972,466.158,882.992,176.424,457.474,696.588,80.0753,463.056,560.46,-31.2509,413.868,324.55,-105.49,358.107,297.623,78.8911,424.854,225.078,82.9105,70.0497,848.684,39.0216,107.345,660.739,-0.798327,117.086,452.177,-11.3209,179.556,241.664,-80.0392,222.773,200.541,137.36,193.17,194.627
3,0,112.869,384.304,1158.91,152.754,109.944,1136.48,-83.4403,262.746,1208.72,-61.2538,158.841,1202.8,115.951,465.628,884.38,177.019,456.327,697.567,83.8592,462.457,558.939,-20.5804,414.454,319.471,-94.11,358.803,289.588,92.6103,426.188,224.598,80.9503,69.8388,848.962,37.3627,107.574,660.676,-3.11677,117.212,452.215,-14.1935,179.64,241.735,-82.9422,222.766,200.682,134.447,193.039,194.542
4,0,111.549,383.983,1159.79,151.762,110.016,1136.35,-84.7563,262.152,1209.01,-62.2817,158.287,1202.95,116.756,465.136,885.655,177.477,455.209,698.454,87.5524,461.869,557.424,-9.92628,414.983,314.644,-82.7011,359.478,281.937,106.191,427.33,224.22,79.0423,69.6875,849.194,35.6835,107.811,660.606,-5.44777,117.342,452.249,-17.0788,179.725,241.805,-85.8605,222.764,200.816,131.518,192.916,194.459
5,0,110.259,383.71,1160.6,150.771,110.107,1136.21,-86.0394,261.618,1209.28,-63.2999,157.792,1203.07,117.385,464.682,886.816,177.799,454.12,699.249,91.1547,461.292,555.917,0.710114,415.455,310.069,-71.2648,360.134,274.67,119.632,428.28,223.943,77.1863,69.5956,849.382,33.9839,108.057,660.531,-7.79131,117.478,452.279,-19.9768,179.811,241.872,-88.7941,222.765,200.943,128.573,192.8,194.377
6,0,108.998,383.484,1161.34,149.781,110.216,1136.05,-87.2896,261.144,1209.51,-64.3084,157.354,1203.17,117.841,464.265,887.863,177.985,453.061,699.952,94.6656,460.724,554.417,11.3262,415.871,305.747,-59.8047,360.768,267.788,132.931,429.039,223.766,75.3824,69.5627,849.526,32.264,108.312,660.45,-10.1473,117.618,452.305,-22.8876,179.896,241.937,-91.7431,222.77,201.063,125.613,192.69,194.297
7,0,107.767,383.306,1162.02,148.792,110.342,1135.86,-88.5067,260.729,1209.71,-65.307,156.974,1203.25,118.122,463.887,888.797,178.035,452.032,700.564,98.0841,460.166,552.924,21.9172,416.229,301.676,-48.3268,361.38,261.293,146.085,429.607,223.688,73.6303,69.5884,849.624,30.5239,108.574,660.364,-12.5158,117.763,452.326,-25.811,179.982,242,-94.7074,222.779,201.176,122.637,192.588,194.219
8,0,106.566,383.176,1162.62,147.805,110.486,1135.65,-89.6906,260.375,1209.87,-66.2957,156.651,1203.29,118.232,463.548,889.617,177.952,451.033,701.083,101.409,459.617,551.439,32.4758,416.528,297.858,-36.8406,361.966,255.187,159.086,429.984,223.707,71.9297,69.6715,849.677,28.7634,108.844,660.272,-14.8967,117.913,452.344,-28.7472,180.068,242.061,-97.6873,222.79,201.283,119.645,192.493,194.142
9,0,105.395,383.092,1163.15,146.819,110.647,1135.43,-90.8409,260.079,1210.01,-67.2741,156.387,1203.31,118.171,463.246,890.325,177.736,450.063,701.512,104.637,459.076,549.962,42.991,416.768,294.292,-25.36,362.524,249.471,171.928,430.173,223.817,70.2799,69.8108,849.684,26.9827,109.121,660.174,-17.2898,118.066,452.357,-31.6961,180.153,242.119,-100.683,222.804,201.382,116.637,192.403,194.066
