Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,Gracilis,EO,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0378418,0.0186157,0.0268555,0.012207,0.0210571,0.0250244,0.00305176,0.0228882,0.0134277,0.0195312,-0.0250244,0.0253296,0.0216675
1,1,0.0289917,0.0140381,0.0476074,0.0170898,0.0137329,0.0384521,0.0390625,0.0152588,0.0125122,-0.00152588,-0.0256348,0.0210571,0.0509644
1,2,0.0274658,0.0595093,0.0311279,0.0219727,0.0384521,0.022583,0.0213623,-0.00579834,0.0180054,0.0119019,-0.0326538,0.0369263,0.0241089
1,3,0.0234985,0.0299072,0.0296021,0.0216675,0.0228882,0.0186157,0.0445557,0.0222778,0.0195312,0.0280762,-0.0274658,0.0201416,0.0134277
1,4,0.0698853,0.010376,0.0292969,0.0231934,0.022583,0.0198364,0.0463867,0.0106812,0.0177002,0.017395,-0.0439453,0.0338745,0.0134277
2,0,0.0378418,0.0601196,0.0335693,0.0302124,0.0143433,0.0143433,0.0335693,0.012207,0.00823975,0.0149536,-0.0326538,0.0460815,0.0250244
2,1,0.0143433,0.0192261,0.0521851,0.0341797,0.0320435,0.0259399,0.0198364,0.0210571,-0.00457764,0.0231934,-0.0253296,0.0457764,0.0323486
2,2,-0.0201416,0.0283813,0.0311279,0.0708008,0.0253296,0.0317383,-0.0253296,0.0170898,0.0143433,0.0787354,-0.0149536,0.0210571,-0.0357056
2,3,0.0112915,0.0195312,0.039978,0.0271606,0.0204468,0.0213623,0.00335693,0.00640869,0.0161743,0.0198364,-0.0274658,-0.00335693,0.0299072
2,4,0.0222778,0.0192261,0.0320435,0.0247192,0.0363159,0.0289917,0.0170898,-0.00427246,0.0109863,-0.00396729,-0.0164795,0.0012207,0.0253296
3,0,0.0378418,0.022583,0.0244141,0.0341797,0.0198364,0.0219727,-0.000915527,0.0189209,0.00579834,0.0265503,-0.0210571,-0.00274658,0.0262451
3,1,0.0283813,0.0170898,0.0317383,0.0305176,0.0326538,0.0296021,0.0241089,0.0143433,0.00946045,0.0106812,-0.0210571,0.0183105,0.0305176
3,2,0.0271606,0.0247192,0.032959,0.0354004,0.0421143,0.0158691,0.0326538,0.0640869,0.0283813,0.00579834,-0.0152588,0.0271606,0.0308228
3,3,0.0320435,0.0363159,0.0219727,0.0305176,0.0106812,0.0152588,0.0299072,0.00823975,0.0186157,0.0228882,-0.0146484,0.0189209,0.0244141
3,4,0.0302124,0.0576782,0.00274658,0.0292969,0.0680542,0.0363159,0.0256348,0.0436401,0.0323486,0.0280762,-0.0183105,0.0167847,0.0292969
4,0,0.0228882,0.0161743,-0.00549316,0.027771,0.0234985,0.00427246,0.0195312,0.0238037,-0.0149536,0.0198364,-0.0128174,0.0262451,0.0219727
4,1,0.0280762,0.0283813,0.0283813,0.0131226,0.0363159,0.0384521,0.0250244,0.00305176,0.00579834,0.00244141,-0.0262451,0.0204468,0.039978
4,2,0.0210571,0.00366211,0.0360107,0.0402832,0.0152588,0.0323486,0.0164795,0.0238037,0.0186157,0.00762939,-0.0253296,0.0354004,0.0311279
4,3,-0.027771,0.0302124,0.0189209,0.0360107,0.0204468,0.020752,0.0204468,0.0216675,0.00488281,0.015564,-0.0363159,0.0360107,0.0268555
4,4,0.0418091,0.0466919,0.0296021,0.0393677,0.0219727,0.0158691,0.0305176,-0.00396729,0.0271606,0.0326538,-0.00915527,0.0231934,0.0247192
5,0,0.0326538,0.0268555,0.0131226,0.0112915,0.0244141,0.0253296,0.0491333,0.0292969,0.0109863,0.0088501,-0.0088501,0.0234985,0.00701904
5,1,0.0387573,0.0213623,0.0558472,0.0363159,0.0216675,0.0192261,-0.00244141,0.0421143,0.0186157,0.00854492,-0.00579834,0.0210571,0.0265503
5,2,0.0244141,0.0314331,-0.0210571,0.0524902,0.017395,0.0256348,0.0192261,0.0738525,0.0125122,-0.00183105,0.00335693,0.0222778,0.0320435
5,3,0.00518799,0.0222778,0.0241089,0.050354,0.0305176,0.0299072,0.0213623,0.0436401,0.0259399,0.0109863,-0.0119019,0.0186157,0.0170898
5,4,0.032959,0.000610352,0.0595093,0.0253296,0.0256348,0.0241089,0.0375366,0.0344849,0.015564,0.015564,-0.00823975,0.0143433,0.0439453
6,0,0.0280762,0.0271606,0.0210571,0.0341797,0.0222778,0.0283813,0.0213623,0.0234985,0.0143433,0.00915527,-0.0088501,0.0323486,0.032959
6,1,0.0311279,0.0366211,0.0265503,0.0390625,0.0164795,0.0231934,0.0198364,0.062561,0.0192261,0.0271606,-0.0216675,0.00946045,0.0375366
6,2,0.0183105,0.0378418,0.0109863,0.0289917,-0.0177002,0.0262451,0.039978,0.0543213,0.0112915,0.0289917,-0.0222778,0.0201416,0.0253296
6,3,0.0311279,0.0344849,0.0259399,0.0344849,0.03479,0.0326538,0.0210571,0.00823975,0.0177002,0.0250244,-0.0247192,0.0140381,0.0341797
6,4,0.0332642,0.0219727,0.038147,0.0357056,0.0360107,0.03479,0.0372314,0.027771,0.0109863,0.012207,-0.0244141,0.010376,0.0344849
7,0,0.022583,0.0271606,0.00823975,0.0552368,0.0216675,0.0283813,0.032959,0.0161743,0.0177002,0.0115967,-0.0189209,0.0244141,0.0762939
7,1,0.0134277,0.0186157,0.0302124,0.0476074,-0.00762939,0.00305176,0.0292969,0.0375366,0.0164795,0.0177002,-0.0286865,0.0286865,0.0283813
7,2,0.0445557,0.0289917,0.0308228,0.0488281,0.022583,0.0216675,0.0500488,-0.00366211,0.00427246,0.00823975,-0.00183105,0.00183105,0.00335693
7,3,0.0259399,0.0158691,0.03479,0.0390625,0.0213623,0.0302124,0.032959,0.0192261,0.00457764,0.00793457,-0.0112915,0.0317383,0.0485229
7,4,0.0515747,0.0250244,0.0372314,0.0311279,0.0259399,0.00823975,0.0341797,0.0192261,0.0296021,0.0088501,-0.00396729,0.0265503,0.0479126
8,0,0.0231934,0.0317383,0.0305176,0.0454712,0.027771,0.0128174,0.0448608,0.0241089,0.0161743,0.0152588,0.0146484,0.0167847,0.0424194
8,1,0.0158691,0.0280762,0.0375366,0.0259399,0.0213623,0.0186157,0.0259399,0.00915527,0.0170898,0.0265503,-0.017395,0.0317383,0.0396729
8,2,0.0274658,0.0244141,0.0357056,0.0314331,0.0213623,0.0241089,0.0482178,0.00823975,0.027771,-0.00213623,-0.0238037,0.0250244,0.0463867
8,3,0.020752,0.0161743,0.0296021,0.0286865,0.0704956,0.0131226,0.0338745,0.020752,0.0158691,0.00518799,-0.0231934,0.0442505,0.050354
8,4,0.0491333,0.0289917,0.0302124,0.0274658,0.0286865,0.012207,0.0723267,0.0323486,0.00854492,0.0473022,-0.0308228,0.0369263,0.0735474
9,0,0.0317383,0.0296021,0.00976562,0.0335693,0.0363159,-0.0363159,0.0271606,0.0222778,-0.0146484,0.0167847,-0.0180054,0.0134277,0.0338745
9,1,0.0280762,0.0256348,0.0201416,0.0445557,0.0210571,0.0253296,0.010376,0.0338745,-0.0119019,0.0259399,-0.0344849,-0.012207,0.0305176
9,2,0.0186157,0.0213623,0.0109863,0.0408936,0.0366211,0.0296021,0.0186157,0.00793457,-0.0479126,0,-0.0305176,0.0210571,0.0341797
9,3,0.0198364,0.0280762,0.0357056,0.0308228,0.0195312,0.0234985,0.0109863,0.0170898,0.0650024,0.00732422,-0.0247192,0.00701904,0.0683594
9,4,0.0180054,0.0128174,0.0335693,0.0253296,0.0445557,0.0204468,0.027771,0.0262451,0.00396729,-0.00213623,-0.00976562,0.0201416,0.0488281
10,0,0.00915527,0.0186157,0.0469971,0.0262451,0.0231934,0.0183105,0.0405884,0.0338745,0.0128174,0.0259399,-0.0213623,0.0323486,0.0488281
10,1,0.00274658,0.0137329,0.0466919,0.0363159,0.03479,0.0244141,0.103455,0.0375366,0.00854492,-0.0180054,-0.0296021,0.022583,0.0436401
10,2,0.00518799,0.0119019,0.0344849,0.0238037,0.0405884,0.0442505,0.0332642,0.0167847,0.0137329,0.0119019,-0.0494385,0.0128174,0.0485229
10,3,0.0619507,0.00640869,0.0119019,0.0485229,0.0161743,0.0341797,0.0592041,0.0326538,0.0158691,0.00701904,0.0112915,0.0259399,0.0610352
10,4,0.0161743,0.0250244,0.00152588,0.0405884,0.0152588,0.0387573,0.0326538,0.0375366,0.00793457,0.0219727,-0.0448608,0.0341797,-0.00427246
11,0,0,0.0598145,0.0183105,0.0262451,-0.0088501,0.0445557,0.0244141,0.0231934,0.0234985,0.0244141,-0.032959,0.012207,0.0012207
11,1,0.0238037,0.0115967,0.0253296,0.0231934,0.0332642,0.0668335,0.0222778,0.0183105,0.012207,-0.00183105,-0.0320435,0.0161743,0.020752
11,2,0.0411987,0.0134277,0.0183105,0.0494385,0.0286865,0.0265503,0.0421143,0.0387573,0.00427246,0.00427246,-0.0753784,0.0170898,0.032959
11,3,0.0262451,0.0360107,0.0604248,0.0518799,0.0332642,-0.0268555,0.0463867,0.027771,-0.0189209,0.0131226,-0.0198364,0.0689697,0.0292969
11,4,0.0201416,0.0390625,0.027771,0.0222778,0.0369263,0.0314331,0.0881958,0.00366211,0,-0.0326538,-0.0244141,0.0164795,0.0198364
12,0,0.0238037,0.0231934,0.00518799,0.0848389,0.0564575,0.0274658,0.0457764,0.0131226,0.0244141,0.0170898,-0.0384521,0.00640869,0.0201416
12,1,0.0204468,0.0204468,-0.00366211,-0.0115967,0.0323486,0.0350952,-0.0384521,-0.0143433,0.00793457,-0.0515747,-0.0253296,0.022583,0.0683594
12,2,0.0143433,0.00762939,0.0143433,0.020752,0.0228882,0.0250244,0.0558472,-0.0186157,0.0137329,0.010376,-0.0149536,0.0228882,0.0744629
12,3,0.0427246,0.017395,0.0204468,0.0372314,0.039978,0.022583,0.032959,-0.0119019,0.0628662,0.00823975,-0.032959,0.0253296,0.0662231
12,4,0.0164795,0.0241089,0.0244141,0.0299072,0.0463867,0.0189209,0.0588989,-0.0167847,0.0299072,0.0195312,-0.0244141,0.0183105,0.0552368
13,0,0.0115967,-0.00183105,-0.00549316,0.0335693,0.0390625,0.0341797,0.043335,-0.00518799,0.017395,0.00183105,-0.039978,0.00946045,0.0317383
13,1,0.0228882,0.045166,0.0216675,0.00732422,0.0756836,0.0234985,0.0396729,0.0500488,0.0244141,0.00183105,-0.0210571,0.0323486,0.00518799
13,2,0.00823975,-0.0506592,0.0259399,0.0302124,-0.0305176,0.0323486,0.0366211,0.0152588,0.0119019,-0.00366211,-0.00915527,0.020752,-0.00335693
13,3,0.0231934,0.0109863,0.0100708,0.0234985,0.0418091,0.0482178,0.015564,0.0634766,0.0152588,0.010376,-0.0271606,0.0259399,0.0170898
13,4,0.00671387,-0.043335,0.0299072,0.0241089,0.0344849,0.00762939,-0.00427246,0.0265503,0.00640869,-0.00427246,-0.0195312,0.0198364,0.012207
14,0,0.0198364,0.0128174,0.0360107,0.0231934,0.0186157,0.0335693,-0.00457764,0.03479,0.0253296,0.000610352,-0.0289917,-0.0283813,0.00671387
14,1,0.0106812,0.0238037,0.0265503,0.0222778,0.0259399,0.0384521,-0.0167847,0.151367,0.027771,0.00549316,-0.012207,-0.00488281,-0.00213623
14,2,0.015564,0.0115967,0.0204468,0.0143433,0.0283813,0.0354004,-0.0152588,0.0787354,0.0308228,0.0268555,-0.020752,0.0170898,0.0164795
14,3,-0.0311279,0.0100708,0.0396729,0.0653076,0.0354004,0.0543213,-0.00579834,0.0521851,0.00183105,0.0119019,-0.017395,0.0344849,0.0338745
14,4,0.0234985,0.0186157,0.0204468,0.0265503,0.0283813,0.0418091,0.000610352,0.0701904,0.0247192,0.0192261,-0.03479,0.0216675,0.0109863
15,0,0.0161743,0.00579834,0.0146484,0.0201416,0.0393677,0.039978,-0.0100708,0.010376,0.0170898,-0.00671387,-0.0131226,0.0253296,0.0219727
15,1,0.0183105,-0.00915527,0.0213623,0.0271606,0.039978,0.0384521,-0.0088501,0.0985718,-0.000915527,-0.00183105,0.00640869,0.0387573,0.0183105
15,2,0.00305176,0.0137329,0.0326538,0.0228882,0.0299072,0.0473022,-0.00335693,0.0524902,-0.0268555,0.0180054,-0.0204468,0.0646973,0.0152588
15,3,0.0177002,0.0180054,0.0198364,0.0180054,0.0241089,0.0485229,-0.0213623,0.0497437,0.0134277,0.0372314,-0.0149536,0.0146484,0.0549316
15,4,0.0231934,0.0146484,0.0149536,-0.00396729,-0.012207,0.0286865,-0.00549316,0.0616455,0.0250244,0.00396729,-0.0161743,0.0372314,0.0186157
16,0,0.0140381,0.0216675,0.0244141,0.0146484,0.0360107,0.050354,0.0115967,0.0262451,0.0198364,0.0411987,-0.0256348,-0.00946045,-0.00244141
16,1,0.0115967,0.0189209,0.00732422,0.0189209,0.0323486,0.0308228,0.0320435,0.038147,0.0280762,0.0476074,-0.0210571,0.0161743,-0.0219727
16,2,0.010376,0.0216675,0.0466919,0.0323486,0.0335693,0.0250244,0.0234985,0.0332642,0.00732422,0.0222778,-0.00793457,0.0012207,-0.0305176
16,3,0.00518799,0.0128174,-0.0244141,0.0323486,0.0427246,-0.0265503,0.0274658,0.0390625,-0.015564,0.0299072,-0.0204468,0.03479,-0.0195312
16,4,0.0161743,-0.0186157,0.0100708,0.0198364,0.0476074,0.0152588,0.0308228,0.0201416,0.0268555,0.0234985,-0.0131226,0.0177002,0.00518799
17,0,0.0390625,-0.0088501,0.00915527,0.0271606,0.0238037,0.0360107,0.0454712,0.0476074,0.0186157,0.0234985,-0.0283813,0.0115967,0.0195312
17,1,0.0189209,0.0204468,0.00549316,0.0146484,0.0314331,0.0210571,0.038147,0.0280762,0.0125122,0.00976562,-0.022583,0.0753784,0.0479126
17,2,0.0302124,0.0137329,0.00671387,0.0314331,0.03479,0.0427246,-0.00244141,0.027771,0.0308228,-0.00823975,-0.00183105,0.0201416,0.065918
17,3,0.0210571,0.0112915,0.0186157,0.0180054,0.0109863,0.0308228,0.0436401,0.0323486,0.0250244,0.0195312,-0.0515747,0.00915527,-0.0012207
17,4,0.0332642,0.038147,0.0137329,0.0152588,0.0704956,0.0357056,0.0415039,0.0143433,0.0170898,0.0189209,0.00427246,0.010376,0.00946045
18,0,0.0109863,-0.0012207,0.0427246,0.00976562,0.0265503,0.0466919,0.0515747,-0.0131226,0.0259399,0.0262451,-0.0167847,0.0268555,0.0497437
18,1,0.0158691,0.0747681,0.00732422,0.0210571,-0.0326538,0.0222778,0.0323486,0.0506592,0.0378418,0.0149536,-0.0354004,0.00396729,0.0680542
18,2,0.0247192,0.0183105,0.0283813,-0.00488281,0.0259399,0.0335693,0.0338745,0.0265503,0.0256348,0.000610352,-0.0109863,0.0146484,0.0415039
18,3,0.0186157,0.0289917,-0.0262451,0.0143433,0.0430298,0.0146484,0.0393677,0.0152588,0.012207,0.0360107,-0.0314331,0.0375366,0.0195312
18,4,0.0280762,0.0204468,0.0201416,0.0323486,0.0411987,0.0262451,0.0454712,0.00457764,0.03479,-0.0415039,-0.0350952,0.0128174,0.0576782
19,0,0.0134277,0.0247192,-0.00518799,0.0253296,0.032959,0.0436401,0.0570679,-0.00610352,0.0259399,0.0152588,-0.0244141,0.0332642,0.0131226
19,1,0.0112915,0.0213623,0.00610352,0.0665283,0.0234985,0.0320435,-0.000610352,-0.00366211,0.0460815,0.0650024,-0.0512695,0.0137329,0.0189209
19,2,0.0488281,0.0247192,0.0338745,0.0262451,0.0341797,0.017395,0.0439453,0.0198364,0.039978,0.0228882,-0.032959,-0.00183105,0.0250244
19,3,0.0100708,0.0814819,0.0311279,0.0204468,-0.00213623,0.0384521,0.0408936,0.00366211,0.0344849,0.0137329,-0.0216675,0.00915527,0.0521851
19,4,0.0167847,0.000915527,0.0180054,0.0180054,0.0271606,0.0424194,0.0396729,0.00579834,-0.00854492,0.0265503,-0.0265503,0.039978,0.0238037
20,0,0.027771,0.022583,0.00762939,0.0112915,0.0115967,0.0241089,0.0369263,0.00915527,0.0280762,0.0180054,0.0314331,0.00488281,0.022583
20,1,0.0262451,0.0317383,0.0244141,-0.0012207,0.0204468,0.0341797,0.0265503,0.0128174,0.0256348,0.0357056,-0.0250244,0.0112915,0.0134277
20,2,0.0195312,0.0311279,-0.0286865,0.0378418,0.0323486,0.017395,0.0204468,0.0201416,0.0448608,0.0402832,-0.0170898,0.0463867,-0.067749
20,3,0.00152588,0.0204468,-0.020752,0.0137329,0.0308228,0.0320435,0.0177002,0.0201416,0.0161743,0.0210571,-0.0183105,-0.022583,0.00518799
20,4,0.0106812,-0.012207,-0.000610352,0.0131226,-0.0140381,0.0228882,-0.000305176,0.010376,0.0354004,0.0354004,-0.027771,0.0140381,0.0164795
21,0,0.0244141,0.0335693,0.0106812,0.0180054,0.0454712,0.0128174,0.0189209,0.06073,0.0405884,0.0369263,-0.0149536,-0.00640869,0.00427246
21,1,0.0250244,0.010376,0.0134277,-0.0128174,0.0292969,0.0268555,0.0238037,0.0738525,0.0283813,0.0302124,-0.0177002,0.0152588,0.0100708
21,2,0.0177002,0.0436401,0.0247192,0.017395,0.0588989,0.0244141,0.0262451,0.0500488,0.0320435,0.038147,-0.0210571,0.0222778,0.00976562
21,3,0.0341797,0.0112915,-0.0265503,0.00701904,0.00335693,0.0253296,0.0369263,0.0405884,0.0613403,0.0314331,-0.0198364,-0.0216675,0.0106812
21,4,0.0241089,0.0088501,0.00793457,0.0531006,0.0311279,0.0378418,0.00732422,0.0131226,0.0289917,0.0231934,-0.0402832,0.00976562,-0.000915527
22,0,0.0244141,0.0137329,0.0204468,0.0167847,0.045166,0.0268555,0.0323486,0.057373,0.0283813,0.0131226,0.00213623,0.0286865,-0.00183105
22,1,-0.0363159,-0.00274658,-0.000610352,0.0164795,0.0344849,0.00183105,0.0228882,0.0448608,0.0299072,0.0408936,-0.0415039,0.0393677,-0.00244141
22,2,0.0491333,0.0283813,0.0216675,0.0466919,0.0274658,0.0219727,0.0595093,0.0244141,0.0390625,0.0241089,-0.0531006,0.0262451,0.00457764
22,3,0.0238037,0.00213623,0.0308228,0.017395,0.03479,0.0195312,0.0305176,0.0265503,0.0354004,0.0445557,-0.0317383,0.017395,0.0177002
22,4,0.0149536,0.0195312,0.00457764,0.0216675,0.0189209,0.0436401,0.0378418,0.03479,0.0436401,0.0177002,-0.0369263,0.0152588,0.00152588
23,0,0.0299072,0.0143433,-0.0354004,0.0253296,0.0152588,0.0201416,0.0518799,0.0088501,0.032959,0.000305176,-0.0289917,0.0213623,0.0177002
23,1,0.0344849,0.0201416,0.00701904,0.0140381,-0.0335693,0.0302124,0.0219727,0.0134277,0.0354004,0.0411987,-0.0286865,0.0106812,0.00244141
23,2,0.0216675,0.0152588,0.0134277,0.000305176,0.0167847,0.0292969,0.0421143,0.0369263,0.0415039,0.0158691,-0.0238037,0.00671387,0.00762939
23,3,0.0192261,0.0213623,-0.0012207,-0.0161743,0.0146484,0.0332642,0.0949097,0.020752,0.027771,0.0396729,-0.0213623,0.00549316,-0.00732422
23,4,0.0152588,0.0106812,0.0198364,0.0106812,0.0372314,0.0411987,0.0320435,-0.0292969,0.0213623,0.0140381,0.00640869,0.0405884,0.0112915
24,0,0.00518799,0.0500488,0.00579834,-0.000915527,-0.0320435,0.017395,0.027771,0.0338745,0.0372314,0.0305176,-0.0115967,0.000305176,-0.00488281
24,1,0.00976562,0.0161743,0.0210571,0.00579834,0.0170898,0.0262451,0.0564575,0.0192261,0.0283813,0.00701904,-0.0222778,-0.0106812,-0.0088501
24,2,0.0088501,0.0177002,0.0158691,0.0134277,0.0195312,0.0320435,0.0442505,0.0140381,0.0265503,0.027771,-0.0256348,-0.0460815,0.00823975
24,3,0.0393677,0.020752,-0.0216675,0.0292969,0.0350952,-0.0271606,0.038147,0.0183105,0.0228882,0.0350952,-0.0311279,0.0137329,0.0146484
24,4,0.0213623,-0.00854492,0.0289917,0.017395,0.00244141,0.0366211,0.039978,0.0665283,0.0271606,0.0360107,-0.0308228,0.0253296,0.00152588
25,0,-0.0146484,0.00152588,0.0268555,0.0149536,0.0302124,0.0271606,0.0708008,0.0170898,0.012207,0.0344849,-0.0518799,0.0320435,0.0180054
25,1,-0.0427246,0.0112915,0.00305176,0.0177002,0.0338745,0.0268555,0.0396729,0.010376,0.0308228,0.0210571,-0.0140381,0.0183105,0.0195312
25,2,0.0241089,0.0262451,0.0149536,-0.0317383,0.0238037,0.03479,0.055542,0.00762939,0.0384521,0.0253296,-0.0283813,0.0363159,0.0283813
25,3,0.0222778,0.0222778,0.0119019,0.00915527,0.00305176,0.00793457,0.0201416,0.0210571,0.0338745,0.0253296,-0.00854492,0.0268555,0.010376
25,4,0.0335693,0.0421143,0.0216675,0.0134277,-0.017395,0.0335693,0.0231934,-0.0131226,0.0320435,0.0234985,-0.03479,0.027771,0.0189209
26,0,0.0286865,0.0152588,0.0228882,0.0201416,0.0183105,0.0262451,0.0222778,0.0286865,0.0323486,0.022583,-0.0335693,0.00976562,0.0189209
26,1,0.0509644,0.0137329,0.0167847,-0.0012207,0.0100708,0.0299072,0.0219727,0.0326538,0.0186157,0.0146484,-0.0479126,0.00305176,0.0213623
26,2,0.0161743,0.0244141,0.0210571,0.0115967,0.0201416,0.0320435,0.0762939,0.0186157,0.0292969,-0.0158691,-0.0457764,-0.0183105,0.0238037
26,3,0.0262451,0.0146484,0.0234985,0.0137329,0.0247192,0.0280762,0.0393677,0.0265503,0.022583,0.0363159,-0.043335,0.0222778,0.0241089
26,4,0.0265503,0.0152588,-0.0143433,0.00732422,0.027771,0.0933838,0.0183105,0.043335,0.0820923,0.00915527,-0.0375366,0.0750732,0.0424194
27,0,0.0302124,0.00488281,0.00579834,0.0128174,0.00549316,0.0219727,0.0280762,0.0201416,0.0396729,0.0164795,-0.0366211,-0.0292969,0.0427246
27,1,0.0308228,0.017395,0.0250244,0.00427246,0.0210571,-0.0125122,0.0326538,0.0280762,0.0790405,0.0112915,-0.0350952,0.0280762,0.0213623
27,2,0.0469971,0.0140381,0.017395,-0.00366211,0.015564,0.0183105,-0.0183105,-0.00213623,0.0253296,0.0366211,-0.0143433,0.0198364,0.0585938
27,3,0.0320435,0.0143433,0.00366211,-0.0134277,0.00152588,0.0167847,0.0131226,-0.0146484,0.045166,0.0198364,-0.0332642,0.050354,0.0280762
27,4,0.0314331,0.00549316,0.0134277,0.0112915,0.0234985,0.00671387,-0.00579834,-0.00610352,0.0302124,0.0473022,-0.0549316,0.0192261,-0.0137329
28,0,-0.027771,0.0195312,0.0268555,-0.00274658,0.0109863,0.0164795,0.0189209,0.0012207,0.0375366,0.0198364,-0.0350952,0.0326538,0.0228882
28,1,0.0283813,0.0222778,0.0302124,0.000610352,0.0231934,0.0143433,0.0180054,0.0418091,0.0216675,0.0201416,-0.027771,0.020752,0.00305176
28,2,0.0210571,0.038147,0.032959,0.0131226,0.00946045,-0.0289917,0.0360107,0.0241089,0.0802612,0.0283813,-0.0332642,-0.0588989,0.000610352
28,3,0.012207,0.0305176,0.0363159,0.0143433,0.0360107,0.0149536,0.0610352,-0.0012207,0.0460815,0.0262451,-0.0296021,0.017395,0.0216675
28,4,0.0296021,0.0244141,0.0393677,0.00793457,0.0198364,0.0134277,0.0363159,0.0238037,-0.032959,0.0222778,-0.0271606,0.020752,0.0161743
29,0,-0.027771,0.0302124,0.0311279,0.0149536,0.0305176,0.0234985,0.0463867,0.0180054,0.0219727,0.0250244,-0.0274658,0.0241089,0.0161743
29,1,0.0299072,0.0314331,0.0106812,0.00457764,0.0088501,0.00640869,0.012207,0.0140381,0.0286865,0.0106812,-0.0311279,0.0140381,0.0448608
29,2,0.0338745,0.012207,0.0488281,0.00518799,0.0137329,0.00701904,0.0186157,0.0256348,0.0332642,0.0708008,-0.0259399,0.0311279,0.0469971
29,3,0.0332642,0.0289917,0.00213623,0.0128174,0.00976562,0.0198364,0.062561,0.0756836,0.0363159,0.072937,-0.0296021,0.0250244,-0.0128174
29,4,0.0195312,0.0201416,0.00946045,0.0476074,0.0161743,0.0219727,0.0888062,0.0967407,0.0280762,0.0201416,-0.0372314,0.0384521,0.0115967
30,0,0.0149536,0.0222778,0.0146484,0.0128174,0.0134277,0.0341797,0.0274658,0.0894165,0.0360107,0.0393677,-0.0332642,0.0265503,0.0256348
30,1,0.0320435,0.0219727,0.00610352,0.017395,0.0143433,0.071106,0.00976562,0.0860596,0.0927734,0.0183105,-0.0280762,0.0656128,-0.00915527
30,2,0.0775146,0.022583,0.00854492,0.0421143,0.00762939,0.0137329,-0.0210571,0.0662231,0.0344849,0.032959,-0.0314331,0.0195312,-0.017395
30,3,0.0195312,0.022583,0.0088501,0.0238037,0.017395,0.0350952,0.012207,0.0610352,0.0238037,0.0256348,-0.0234985,0.0143433,0.0088501
30,4,0.0216675,0.0140381,0.032959,0.0253296,0.020752,0.022583,0.00579834,0.0531006,0.0128174,0.0299072,-0.0268555,-0.00274658,0.00579834
31,0,0.00183105,0.0308228,0.0344849,0.0396729,0.0161743,0.00640869,0.00152588,0.0460815,0.0204468,0.027771,-0.0192261,-0.0115967,0.0140381
31,1,0.0234985,-0.00183105,0.0302124,0.015564,0.00793457,0.00701904,0.00762939,0.0390625,0.0299072,0.0445557,-0.0323486,0.0192261,0.0250244
