Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,EO,Gracilis,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0143433,0.0219727,0.0234985,0.0592041,0.0369263,0.00671387,1.07361,0.0137329,0.0476074,0.00732422,-0.0192261,0.0189209,0.00152588
1,1,0.0146484,0.00183105,0.0311279,-0.00244141,0.0320435,0.0772095,0.844421,0.0231934,0.0485229,0.0250244,-0.0250244,0.00854492,0.119934
1,2,0.0140381,0.0128174,0.0253296,-0.022583,0.0430298,0.00305176,0.653076,0,0.0479126,0.0234985,0.0210571,0.0088501,0.0134277
1,3,0.00610352,0.0112915,0.0320435,0.00427246,0.0424194,0.0369263,0.486145,0.0186157,0.072937,0.0161743,-0.0305176,0.0473022,-0.00366211
1,4,0.015564,0.00183105,0.0204468,-0.0201416,0.027771,0.027771,0.23468,0.0265503,0.0109863,0.0314331,-0.0195312,0.0183105,-0.0354004
2,0,0.00335693,0.00335693,0.0152588,-0.0143433,0.0106812,0.012207,0.0671387,0.017395,0.0360107,0.0204468,-0.0119019,0.0128174,-0.0378418
2,1,0.0125122,0.0201416,0.0140381,-0.0134277,0.0140381,0.022583,0.0927734,0.0180054,0.0341797,0.0283813,-0.0186157,0.00854492,0.0344849
2,2,-0.0411987,0.0415039,0.0180054,-0.0421143,0.0326538,0.0247192,0.0305176,0.00671387,0.0448608,0.0466919,0.0296021,0.0161743,-0.0131226
2,3,0.00213623,0.0286865,-0.0201416,-0.0283813,0.0216675,-0.0253296,-0.147095,0.015564,0.010376,0.0241089,-0.0204468,0.00793457,0.00518799
2,4,-0.00793457,0.0485229,0.0241089,-0.0201416,0.0280762,0.0256348,-0.185242,0.0180054,0.0177002,0.0335693,-0.0216675,0.0308228,-0.00518799
3,0,0.0180054,-0.0204468,0.0323486,-0.0320435,0.0143433,0.0250244,-0.270386,0.0213623,0.0149536,0.0241089,-0.017395,-0.0088501,-0.00488281
3,1,0.027771,0.0469971,0.0213623,-0.0210571,0.0149536,0.0140381,-0.342712,0.0231934,0.0219727,0.0201416,-0.0265503,0.0268555,-0.00335693
3,2,0.0170898,0.0180054,-0.0186157,-0.0109863,0.0262451,0.0497437,-0.432129,0.0369263,0.000610352,0.0149536,-0.0250244,0.0634766,-0.0253296
3,3,0.0161743,0.022583,0.0305176,-0.000915527,0.00823975,0.010376,-0.458374,0.0338745,0.0701904,0.0125122,-0.0247192,0.0204468,0.00640869
3,4,-0.00640869,0.0167847,0.0106812,-0.0265503,0.032959,0.0469971,-0.522461,0.0357056,0.0286865,-0.0100708,-0.0231934,0.0128174,0.0125122
4,0,0.0286865,0.012207,0.0308228,0.0012207,0.0216675,0.0390625,-0.568542,0.0534058,0.0183105,0.0357056,-0.0216675,0.0125122,0.0109863
4,1,0.0137329,0.0372314,0.022583,-0.00762939,0.0247192,0.0228882,-0.576172,0.03479,0.0253296,0.0302124,-0.0164795,0.00762939,0.0152588
4,2,0.0338745,0.0189209,0.0259399,-0.0106812,0.0158691,0.020752,-0.65979,0.0427246,0.0289917,0.0286865,0.0106812,0.0167847,0.00823975
4,3,0.0109863,0.00793457,-0.000305176,0.0189209,0.0262451,-0.0088501,-0.837708,-0.0354004,0.0259399,0.0140381,0.010376,0.0268555,0.0567627
4,4,0.022583,0.0143433,0.0164795,-0.00793457,0.000610352,0.0402832,-0.85144,0.020752,0.0363159,0.0305176,-0.045166,0.0143433,0.0430298
5,0,0.06073,0.00976562,0.017395,0.0292969,0.0161743,0.0161743,-0.959167,0.0292969,0.0228882,0.0823975,-0.00183105,0.0177002,-0.0180054
5,1,0.0299072,0.0198364,0.0271606,-0.00549316,0.00366211,-0.000610352,-1.25458,0.0100708,0.0448608,0.0244141,-0.0201416,0.0421143,0.0292969
