Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,118.618,454.526,1129.83,122.256,183.75,1104.86,-91.2192,384.681,1190.73,-78.3378,251.665,1169.96,76.7322,519.497,852.217,110.219,482.524,656.071,49.1406,479.432,488.997,1.30945,404.86,241.488,-65.8242,361.262,211.479,148.31,386.872,191.09,111.357,131.728,816.267,139.118,154.004,626.238,-17.2347,140.201,500.942,-205.93,174.223,400.914,-273.337,211.319,436.115,-188.502,190.519,245.843
2,0,115.932,455.739,1131.77,120.907,184.915,1108.34,-93.2754,384.588,1193.71,-80.079,251.559,1174.17,71.2901,518.786,853.342,101.419,482.124,656.628,38.8638,479.512,490.085,-11.1311,405.92,243.117,-77.5402,362.085,213.22,136.552,386.5,191.008,114.922,131.93,820.533,149.178,155.462,633.205,-5.82532,141.384,504.496,-192.959,174.343,397.08,-263.394,210.35,428.965,-165.945,192.536,245.396
3,0,113.318,456.836,1133.76,119.673,185.978,1111.89,-95.2557,384.386,1196.69,-81.6912,251.397,1178.32,65.8311,518.064,854.596,92.4678,481.668,657.397,28.4853,479.495,491.374,-23.4803,406.846,244.893,-89.2585,362.819,215.174,124.697,386.143,190.924,118.462,132.1,825.016,158.295,156.822,640.003,5.29296,142.489,507.522,-179.293,174.561,392.555,-252.38,209.71,420.866,-142.904,194.176,244.698
4,0,110.778,457.818,1135.78,118.554,186.94,1115.51,-97.1595,384.075,1199.68,-83.174,251.181,1182.41,60.3527,517.327,855.979,83.367,481.155,658.376,18.0061,479.381,492.862,-35.7277,407.631,246.809,-100.979,363.464,217.338,112.745,385.802,190.838,121.973,132.238,829.714,166.468,158.083,646.632,16.1201,143.516,510.02,-164.934,174.877,387.344,-240.295,209.399,411.825,-119.385,195.439,243.75
5,0,108.313,458.684,1137.84,117.551,187.8,1119.22,-98.9852,383.656,1202.67,-84.5268,250.909,1186.45,54.8496,516.574,857.485,74.119,480.588,659.562,7.42889,479.17,494.548,-47.8459,408.258,248.846,-112.701,364.014,219.714,100.693,385.473,190.75,125.447,132.344,834.618,173.697,159.244,653.084,26.6558,144.465,511.994,-149.88,175.29,381.464,-227.136,209.416,401.87,-95.397,196.327,242.556
6,0,105.925,459.435,1139.94,116.665,188.561,1122.99,-100.729,383.132,1205.66,-85.7484,250.583,1190.42,49.3122,515.797,859.105,64.7296,479.966,660.95,-3.24033,478.863,496.428,-59.7843,408.697,250.967,-124.424,364.463,222.3,88.5369,385.152,190.659,128.869,132.417,839.71,179.979,160.3,659.347,36.8999,145.337,513.451,-134.132,175.802,374.948,-212.902,209.758,391.052,-70.9627,196.844,241.125
7,0,103.618,460.072,1142.06,115.898,189.225,1126.82,-102.385,382.507,1208.65,-86.8366,250.201,1194.32,43.7275,514.986,860.824,55.2102,479.293,662.531,-13.9909,478.46,498.495,-71.4697,408.905,253.118,-136.145,364.8,225.094,76.2702,384.834,190.562,132.213,132.459,844.961,185.311,161.248,665.4,46.8513,146.13,514.401,-117.692,176.413,367.855,-197.589,210.419,379.456,-46.1169,197.006,239.473
8,0,101.4,460.595,1144.21,115.255,189.798,1130.71,-103.946,381.788,1211.64,-87.7885,249.764,1198.15,38.0823,514.132,862.624,45.5796,478.571,664.291,-24.806,477.962,500.738,-82.813,408.83,255.236,-147.861,365.012,228.093,63.8856,384.51,190.458,135.442,132.467,850.328,189.69,162.08,671.215,56.5085,146.845,514.864,-100.569,177.121,360.266,-181.205,211.387,367.205,-20.9094,196.835,237.626
9,0,99.2793,461.005,1146.37,114.74,190.283,1134.62,-105.399,380.984,1214.61,-88.6005,249.272,1201.88,32.3662,513.223,864.485,35.8665,477.805,666.211,-35.6615,477.371,503.143,-93.7243,408.423,257.25,-159.566,365.087,231.293,51.3756,384.172,190.342,138.511,132.438,855.755,193.117,162.788,676.753,65.869,147.481,514.866,-82.7805,177.925,352.29,-163.764,212.643,354.456,4.59419,196.374,235.625
