Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,Gracilis,EO,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
8,2,0.022583,0.0344849,0.0183105,0.0128174,-0.00671387,0.0576782,0.0112915,0.0244141,0.0350952,-3.17596,-0.0292969,0.0177002,0.020752
8,3,0.0216675,0.0335693,0.017395,-0.0143433,0.0222778,0.0152588,0.0128174,-0.00640869,0.0344849,-3.17627,-0.0192261,0.0268555,0.0186157
8,4,0.0408936,0.0244141,0.0161743,0.0234985,0.0167847,0.0231934,0.0396729,0.0717163,0.0152588,-3.15857,-0.0213623,0.0204468,0.0314331
9,0,0.027771,0.0228882,0.022583,0.0119019,0.00549316,0.00732422,0.0247192,0.0723267,0.022583,-3.23212,-0.0332642,0.0265503,-0.0195312
9,1,0.0177002,0.0170898,0.0131226,0.0378418,0.0244141,0.0119019,-0.0268555,0.0827026,0.0317383,-3.21014,-0.0436401,0.0231934,0.0262451
9,2,0.0228882,0.0289917,0.00671387,0.0238037,0.0128174,-0.00183105,-0.00244141,-0.00366211,0.0616455,2.13989,-0.0216675,0.038147,0.0106812
9,3,0.0213623,0.0213623,0.0186157,0.0112915,-0.0125122,0.0137329,0.0238037,-0.00396729,0.0402832,0.809326,-0.0131226,0.0326538,0.0308228
9,4,0.0289917,0.0195312,0.0161743,0.0186157,0.0143433,0.0140381,0.0189209,-0.0170898,0.0314331,2.04651,-0.0369263,0.0274658,0.0238037
10,0,0.0369263,0.027771,0.0109863,0.0109863,0.0286865,0.027771,0.0143433,0.0302124,0.0204468,-3.19244,-0.0820923,0.0305176,0.0143433
10,1,0.0247192,0.0335693,0.022583,0.00915527,0.0268555,0.017395,0.0238037,0.0106812,0.0164795,2.09656,-0.0341797,0.0292969,0.00549316
10,2,0.0338745,0.0775146,0.0341797,0.0109863,0.00183105,0.0164795,-0.00671387,0.0506592,0.022583,-2.20581,-0.0271606,0.0366211,0.0445557
10,3,0.0341797,0.022583,0.0177002,0.00549316,0.0216675,0.0192261,0.00762939,0.0683594,0.0421143,0.840454,-0.0326538,0.0161743,0.0180054
10,4,0.0210571,0.0265503,0.00701904,0.00946045,0.00823975,0.0125122,0.0177002,0.0100708,0.0222778,2.06879,-0.0299072,0.0286865,0.0299072
11,0,0.0274658,0.0271606,0.0137329,0.0314331,0.0265503,0.0180054,-0.0146484,-0.0177002,0.0311279,1.99646,-0.0198364,0.0247192,0.0402832
11,1,0.0311279,0.0534058,0.0247192,0.0158691,-0.0418091,0.0244141,0.0128174,-0.0106812,0.0289917,1.92902,-0.0338745,-0.000610352,0.0204468
11,2,0.0323486,0.0314331,0.0259399,-0.0384521,0.0109863,0.0198364,0.00640869,0.00518799,0.0344849,1.92596,-0.0125122,0.0299072,0.000610352
11,3,0.0299072,0.0292969,0.0140381,0.00488281,-0.0296021,-0.000915527,0.00946045,0.017395,0.0326538,1.79535,-0.0350952,0.032959,0.0396729
11,4,0.0344849,0.0192261,0.0280762,0.0231934,0.027771,0.00396729,0.012207,0.0274658,0.03479,1.71143,-0.0228882,0.0286865,0.032959
12,0,0.0238037,0.022583,0.0088501,-0.017395,0.0454712,0.0256348,0.0216675,0.06073,0.0137329,1.64673,-0.0210571,0.0238037,0.0219727
12,1,0.0332642,0.038147,0.00488281,0.0274658,0.0170898,-0.0109863,0.0131226,-0.00549316,0.0234985,1.58447,-0.0283813,0.0128174,0.0247192
12,2,0.0411987,0.0115967,0.022583,-0.0216675,-0.0128174,0.0170898,0.010376,-0.0411987,0.0213623,1.56036,-0.00427246,0.0326538,0.0244141
12,3,0.0268555,0.0231934,0.0167847,0.00488281,0.00183105,0.00915527,-0.0119019,0.00671387,0.0259399,1.46881,-0.0152588,0.0283813,0.0289917
12,4,0.0543213,0.0360107,0.0228882,0.0317383,0.0296021,0.00823975,0.00427246,0.0180054,0.0204468,1.41968,-0.00152588,0.0323486,0.0149536
13,0,0.0274658,0.0189209,0.0271606,0.0299072,0.0143433,-0.0137329,0.0106812,0.0296021,-0.0198364,1.36597,-0.0378418,-0.0317383,0.0314331
13,1,0.0152588,0.00854492,0.0384521,0.0189209,0.0286865,0.00610352,0.038147,0.0253296,0.020752,1.30615,-0.0341797,0.0302124,0.010376
13,2,0.0289917,0.0350952,0.0296021,0.0231934,0.0128174,0.00396729,0.0292969,-0.0253296,0.0161743,1.28906,-0.0274658,0.0344849,0.0231934
13,3,0.0189209,0.0274658,0.0231934,-0.000915527,0.0180054,0.022583,0.0256348,-0.00579834,0.0265503,1.2088,-0.0228882,0.0323486,0.0238037
13,4,0.0564575,0.0363159,0.0314331,0.072937,0.0152588,0.0161743,0.0656128,-0.015564,0.0326538,1.16974,-0.055542,0.0238037,-0.03479
14,0,0.0289917,0.0234985,0.00915527,0.0213623,0.0140381,-0.0320435,0.0164795,-0.00915527,-0.0289917,1.11877,-0.0231934,0.067749,0.0231934
14,1,0.0305176,0.0292969,0.0189209,-0.0161743,0.0268555,0.0192261,0.012207,-0.0506592,0.020752,1.08826,-0.0506592,0.0360107,0.0250244
14,2,0.0228882,0.0210571,0.0369263,0.0183105,0.0189209,0.0177002,0.0167847,0.0012207,0.0274658,1.05835,-0.0332642,0.0354004,0.0259399
14,3,0.0204468,-0.0088501,0.0299072,0.0204468,0.0149536,0.0189209,0.00640869,-0.00671387,0.0341797,-1.28479,-0.0292969,0.0491333,0.0189209
14,4,0.0186157,0.0241089,0.0817871,0.0512695,0.0289917,-0.0442505,0.0320435,0.0131226,0.0643921,-3.1897,-0.0274658,-0.0112915,0.0274658
15,0,0.0299072,0.027771,0.0216675,0.0134277,0.0192261,0.0604248,0.00671387,-0.0128174,0.0109863,0.697632,-0.0253296,0.0265503,0.0369263
15,1,0.020752,0.0247192,0.0222778,0.0253296,-0.00183105,0.00854492,0.0296021,0.0167847,0.0222778,-2.22107,-0.0250244,0.0256348,0.0354004
15,2,0.00671387,0.0192261,0.022583,0.0299072,0.0112915,0.0143433,0.0164795,0.00823975,0.0140381,-1.21368,-0.0253296,0.0323486,0.0375366
