Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,123.766,431.356,1107.51,153.476,159.899,1121.69,-72.4782,322.098,1174.78,-58.2357,220.479,1179.6,103.038,494.334,828.6,111.946,480.717,629.347,-21.6927,486.927,537.516,-218.44,411.625,396.457,-279.608,357.171,431.732,-224.917,386.376,227.993,163.8,103.934,846.076,189.082,147.793,656.153,141.961,150.471,445.251,89.1025,200.007,240.714,11.7958,230.553,204.85,228.752,216.535,196.027
2,0,123.283,429.992,1109.39,151.806,158.894,1122.69,-73.3861,322.109,1175.66,-59.4944,219.997,1180.41,105.142,494.046,829.481,123.43,480.971,632.683,-9.51845,485.708,540.862,-207.025,410.6,398.867,-271.204,355.308,432.174,-206.157,389.849,231.6,156.572,102.524,844.74,181.484,147.057,654.708,131.697,150.165,444.211,77.4941,199.622,240.259,0.173159,230.892,204.722,216.908,216.09,195.718
3,0,122.7,428.686,1111.37,150.124,157.939,1123.67,-74.3526,322.033,1176.75,-60.7428,219.48,1181.35,107.259,493.73,830.772,134.3,481.051,636.341,2.22009,484.498,543.915,-195.17,409.72,400.057,-262.098,353.756,431.019,-186.479,392.726,234.491,149.537,101.401,843.585,173.593,146.472,653.442,121.297,149.922,443.374,65.824,199.309,239.922,-11.509,231.13,204.712,205.013,215.694,195.43
4,0,122.017,427.44,1113.46,148.43,157.035,1124.63,-75.3776,321.871,1178.03,-61.9808,218.929,1182.41,109.39,493.385,832.471,144.552,480.956,640.317,13.5229,483.298,546.674,-182.875,408.985,400.028,-252.288,352.509,428.271,-165.899,395.019,236.672,142.697,100.565,842.611,165.409,146.038,652.355,110.763,149.74,442.741,54.0924,199.067,239.703,-23.2518,231.271,204.818,193.067,215.347,195.164
5,0,121.235,426.256,1115.64,146.724,156.181,1125.56,-76.4604,321.623,1179.51,-63.2084,218.344,1183.6,111.538,493.015,834.57,154.18,480.689,644.6,24.3899,482.107,549.136,-170.137,408.392,398.789,-241.765,351.557,423.943,-144.451,396.758,238.153,136.055,100.01,841.815,156.935,145.752,651.448,100.094,149.62,442.312,42.2993,198.894,239.603,-35.0576,231.323,205.043,181.067,215.048,194.918
6,0,120.357,425.135,1117.92,145.008,155.38,1126.47,-77.5998,321.292,1181.18,-64.4251,217.729,1184.92,113.706,492.623,837.058,163.171,480.254,649.166,34.8211,480.927,551.293,-156.953,407.936,396.356,-230.514,350.881,418.061,-122.201,398.002,238.956,129.613,99.7264,841.194,148.177,145.607,650.722,89.2948,149.558,442.088,30.4454,198.786,239.626,-46.9304,231.304,205.386,169.012,214.794,194.689
7,0,119.385,424.082,1120.29,143.282,154.634,1127.36,-78.7929,320.883,1183.03,-65.6303,217.086,1186.35,115.895,492.219,839.915,171.503,479.658,653.98,44.8164,479.76,553.135,-143.313,407.611,392.76,-218.508,350.449,410.672,-99.2414,398.847,239.118,123.371,99.6984,840.741,139.145,145.595,650.18,78.3686,149.55,442.068,18.532,198.738,239.778,-58.875,231.236,205.854,156.897,214.584,194.474
8,0,118.328,423.105,1122.74,141.55,153.946,1128.22,-80.0354,320.403,1185.06,-66.8228,216.423,1187.9,118.107,491.813,843.112,179.144,478.909,658.986,54.3758,478.607,554.646,-129.204,407.409,388.046,-205.713,350.221,401.846,-75.6866,399.419,238.688,117.319,99.9026,840.447,129.853,145.7,649.825,67.3233,149.593,442.252,6.56096,198.742,240.066,-70.896,231.145,206.452,144.715,214.412,194.267
9,0,117.193,422.211,1125.26,139.814,153.321,1129.05,-81.3204,319.862,1187.24,-68.0007,215.749,1189.56,120.337,491.416,846.61,186.054,478.023,664.115,63.4993,477.471,555.808,-114.601,407.318,382.277,-192.082,350.153,391.679,-51.6579,399.869,237.734,111.44,100.308,840.301,120.323,145.905,649.659,56.1702,149.679,442.639,-5.46459,198.785,240.5,-82.9965,231.057,207.195,132.461,214.273,194.061
