Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,79.7991,411.559,1153.88,107.372,142.728,1144.93,-119.994,305.631,1210.99,-102.693,200.874,1207.02,98.361,488.078,885.633,170.118,474.38,704.276,62.0247,478.237,572.947,-71.1764,419.468,349.287,-147.314,364.724,334.884,29.8047,421.395,230.302,53.8615,100.117,850.035,19.9493,137.813,663.87,-23.3656,146.189,452.921,-48.4939,200.658,242.136,-120.665,241.6,201.516,96.3599,214.067,195.087
2,0,78.4907,411.342,1154.68,105.596,142.796,1143.89,-121.064,305.02,1211.47,-103.755,200.324,1207.29,99.6482,488.276,887.544,170.545,473.488,705.375,69.0993,477.461,570.009,-53.3774,419.865,340.387,-129.108,365.172,321.548,52.4039,423.027,228.877,48.6928,99.7573,850.082,14.7394,138.06,663.524,-29.0672,146.484,452.763,-54.7149,200.715,242.049,-126.939,241.663,201.386,90.0975,214.059,195.066
3,0,77.2648,411.169,1155.39,103.859,142.867,1142.86,-122.088,304.511,1211.9,-104.806,199.884,1207.52,100.642,488.505,889.226,170.722,472.622,706.282,75.7755,476.712,567.117,-35.8442,420.201,332.049,-110.982,365.609,308.95,74.5564,424.356,227.811,43.7563,99.5192,850.073,9.65595,138.308,663.18,-34.7042,146.762,452.616,-60.9384,200.768,241.981,-133.226,241.719,201.307,83.8045,214.032,195.029
4,0,76.1214,411.041,1155.99,102.163,142.942,1141.85,-123.067,304.104,1212.26,-105.847,199.556,1207.69,101.344,488.764,890.68,170.65,471.782,706.996,82.053,475.988,564.273,-18.5797,420.476,324.273,-92.9385,366.035,297.092,96.2584,425.382,227.102,39.052,99.4015,850.009,4.6987,138.556,662.837,-40.2765,147.022,452.48,-67.1641,200.817,241.931,-139.525,241.766,201.278,77.4809,213.987,194.977
5,0,75.0608,410.957,1156.51,100.507,143.02,1140.84,-123.998,303.8,1212.57,-106.876,199.339,1207.8,101.753,489.052,891.906,170.331,470.967,707.519,87.9314,475.289,561.475,-1.59269,420.692,317.056,-74.9905,366.448,285.978,117.499,426.106,226.744,34.5794,99.4025,849.89,-0.132679,138.804,662.496,-45.7844,147.265,452.356,-73.3919,200.86,241.9,-145.836,241.806,201.3,71.127,213.923,194.91
6,0,74.0834,410.917,1156.92,98.892,143.102,1139.84,-124.884,303.598,1212.82,-107.893,199.232,1207.87,101.874,489.368,892.905,169.769,470.179,707.852,93.4095,474.616,558.725,15.0988,420.846,310.4,-57.1639,366.846,275.614,138.258,426.53,226.723,30.3378,99.5187,849.718,-4.83892,139.052,662.157,-51.2282,147.49,452.244,-79.6214,200.899,241.888,-152.159,241.837,201.372,64.7432,213.84,194.828
7,0,73.1899,410.921,1157.24,97.3191,143.189,1138.85,-125.721,303.498,1213.01,-108.896,199.236,1207.88,101.71,489.711,893.679,168.968,469.416,707.999,98.4857,473.968,556.024,31.4639,420.939,304.302,-39.5022,367.225,266.008,158.497,426.661,227.016,26.3255,99.7445,849.493,-9.42127,139.301,661.82,-56.6084,147.697,452.144,-85.852,200.931,241.895,-158.494,241.858,201.497,58.3302,213.74,194.73
8,0,72.3814,410.968,1157.47,95.79,143.279,1137.87,-126.51,303.501,1213.14,-109.885,199.349,1207.84,101.27,490.078,894.23,167.936,468.68,707.963,103.157,473.343,553.373,47.4565,420.969,298.758,-22.0703,367.58,257.174,178.163,426.506,227.587,22.5396,100.072,849.218,-13.8815,139.549,661.487,-61.926,147.887,452.058,-92.083,200.957,241.923,-164.839,241.866,201.676,51.8888,213.621,194.616
9,0,71.6595,411.059,1157.6,94.3072,143.376,1136.91,-127.248,303.606,1213.2,-110.857,199.571,1207.75,100.564,490.466,894.564,166.686,467.97,707.752,107.421,472.741,550.774,63.0136,420.936,293.76,-4.95587,367.902,249.122,197.181,426.08,228.389,18.9755,100.491,848.896,-18.2221,139.798,661.157,-67.1821,148.06,451.986,-98.3132,200.975,241.974,-171.194,241.859,201.912,45.4203,213.485,194.488
10,0,71.0262,411.192,1157.65,92.8737,143.479,1135.95,-127.933,303.812,1213.22,-111.807,199.9,1207.61,99.6088,490.87,894.684,165.231,467.287,707.373,111.271,472.159,548.23,78.0551,420.838,289.296,11.7305,368.182,241.863,215.459,425.401,229.363,15.6266,100.989,848.532,-22.4458,140.047,660.834,-72.3782,148.214,451.93,-104.542,200.983,242.048,-177.559,241.833,202.206,38.926,213.332,194.344
11,0,70.4841,411.368,1157.6,91.4939,143.591,1135.01,-128.562,304.12,1213.17,-112.732,200.335,1207.43,98.4247,491.285,894.6,163.59,466.63,706.835,114.704,471.597,545.742,92.4848,420.674,285.348,27.8578,368.409,235.402,232.887,424.495,230.439,12.4841,101.553,848.131,-26.556,140.298,660.517,-77.5161,148.352,451.892,-110.768,200.978,242.15,-183.932,241.785,202.562,32.4072,213.163,194.187
12,0,70.0363,411.585,1157.48,90.1728,143.714,1134.09,-129.131,304.527,1213.07,-113.626,200.872,1207.19,97.0383,491.705,894.321,161.783,466.002,706.152,117.712,471.051,543.314,106.194,420.442,281.892,43.2782,368.573,229.737,249.34,423.392,231.537,9.53721,102.168,847.699,-30.556,140.551,660.208,-82.5976,148.473,451.874,-116.99,200.96,242.281,-190.314,241.71,202.983,25.8654,212.979,194.016
