Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,127.422,402.121,1148.69,156.194,127.263,1144.29,-70.6642,290.191,1210.31,-53.6014,186.195,1210.54,120.01,476.665,872.752,146.929,465.658,672.855,41.0754,461.507,500.937,-111.223,406.69,341.697,-187.593,352.786,351.369,-52.5614,392.481,198.403,98.9706,70.345,861.411,73.5855,108.225,667.332,47.7455,112.466,461.261,49.645,166.034,219.752,-17.6468,215.822,197.548,196.103,181.442,197.576
2,0,126.552,400.854,1149.35,156.057,126.181,1144.2,-70.9287,288.697,1210.61,-53.8684,184.778,1210.62,122.257,476.036,873.886,154.977,465.461,676.586,49.033,461.322,504.989,-105.668,406.688,346.979,-182.133,352.008,356.131,-46.7346,394.119,203.243,98.1306,69.9132,861.186,71.7837,107.68,667.194,45.282,112.295,461.152,46.7196,165.981,219.686,-20.5831,215.829,197.526,193.185,181.607,197.373
3,0,125.701,399.649,1150.03,155.922,125.161,1144.09,-71.1953,287.247,1210.92,-54.1176,183.405,1210.71,124.317,475.418,875.004,162.492,465.199,680.133,56.8143,461.096,508.681,-99.6472,406.7,351.383,-176.216,351.356,359.728,-39.883,395.681,207.62,97.2779,69.5069,860.96,70.0175,107.178,667.057,42.8588,112.14,461.052,43.7959,165.929,219.63,-23.5255,215.831,197.515,190.262,181.756,197.182
4,0,124.869,398.506,1150.7,155.79,124.201,1143.97,-71.464,285.841,1211.25,-54.3492,182.073,1210.81,126.19,474.811,876.107,169.475,464.871,683.494,64.4194,460.829,512.013,-93.162,406.727,354.911,-169.842,350.83,362.161,-32.0094,397.165,211.533,96.4126,69.1259,860.736,68.2869,106.719,666.922,40.4758,112.001,460.963,40.8739,165.876,219.583,-26.4739,215.828,197.514,187.333,181.889,197.002
5,0,124.054,397.425,1151.39,155.659,123.304,1143.83,-71.7348,284.478,1211.59,-54.563,180.785,1210.91,127.878,474.214,877.195,175.924,464.477,686.67,71.8481,460.521,514.986,-86.2128,406.768,357.567,-163.011,350.429,363.436,-23.1223,398.572,214.984,95.5343,68.7701,860.512,66.5915,106.304,666.79,38.1325,111.879,460.884,37.9534,165.824,219.545,-29.4284,215.82,197.524,184.398,182.006,196.834
6,0,123.258,396.405,1152.07,155.53,122.467,1143.66,-72.0075,283.158,1211.95,-54.7593,179.539,1211.03,129.381,473.63,878.268,181.841,464.019,689.66,79.1,460.173,517.6,-78.8014,406.824,359.356,-155.722,350.151,363.563,-13.2388,399.897,217.978,94.6426,68.4395,860.288,64.9309,105.932,666.659,35.8283,111.773,460.815,35.034,165.771,219.516,-32.3889,215.807,197.544,181.458,182.107,196.677
7,0,122.481,395.448,1152.76,155.404,121.691,1143.49,-72.282,281.883,1212.32,-54.9379,178.337,1211.15,130.703,473.057,879.326,187.227,463.498,692.462,86.1747,459.785,519.857,-70.9315,406.893,360.29,-147.974,349.993,362.561,-2.38769,401.139,220.52,93.7366,68.1338,860.065,63.3039,105.602,666.53,33.5619,111.681,460.755,32.1152,165.719,219.495,-35.3556,215.79,197.572,178.511,182.192,196.531
8,0,121.723,394.552,1153.45,155.279,120.976,1143.29,-72.5579,280.651,1212.71,-55.0992,177.178,1211.27,131.848,472.498,880.37,192.083,462.914,695.076,93.071,459.361,521.759,-62.6087,406.974,360.387,-139.766,349.951,360.458,9.38885,402.292,222.622,92.8152,67.8525,859.842,61.709,105.314,666.402,31.3315,111.605,460.705,29.1963,165.666,219.482,-38.3284,215.768,197.608,175.557,182.261,196.396
9,0,120.985,393.718,1154.15,155.156,120.322,1143.07,-72.835,279.465,1213.12,-55.2433,176.063,1211.41,132.822,471.955,881.4,196.413,462.269,697.499,99.7873,458.901,523.309,-53.8413,407.068,359.671,-131.096,350.017,357.295,22.0341,403.35,224.302,91.8768,67.5955,859.619,60.1442,105.068,666.275,29.1345,111.543,460.662,26.2761,165.614,219.476,-41.3074,215.742,197.649,172.595,182.315,196.271
10,0,120.269,392.945,1154.84,155.034,119.728,1142.84,-73.1124,278.325,1213.53,-55.3705,174.994,1211.55,133.631,471.429,882.416,200.221,461.568,699.73,106.321,458.411,524.513,-44.6413,407.171,358.179,-121.966,350.183,353.125,35.4769,404.308,225.583,90.9198,67.3622,859.395,58.6066,104.861,666.15,26.9678,111.493,460.627,23.3534,165.561,219.477,-44.2928,215.712,197.694,169.626,182.353,196.156
11,0,119.574,392.234,1155.54,154.913,119.193,1142.59,-73.3895,277.232,1213.96,-55.481,173.97,1211.7,134.285,470.924,883.417,203.511,460.813,701.765,112.67,457.892,525.378,-35.0244,407.283,355.953,-112.377,350.439,348.015,49.6329,405.162,226.496,89.9423,67.1522,859.171,57.0931,104.693,666.024,24.8273,111.455,460.599,20.4265,165.509,219.483,-47.2847,215.68,197.74,166.648,182.376,196.05
12,0,118.904,391.583,1156.23,154.794,118.717,1142.32,-73.6651,276.189,1214.4,-55.5753,172.994,1211.85,134.793,470.442,884.404,206.29,460.009,703.601,118.828,457.351,525.913,-25.0111,407.402,353.047,-102.335,350.773,342.047,64.4064,405.907,227.079,88.9424,66.9654,858.944,55.5997,104.562,665.898,22.7085,111.427,460.575,17.4938,165.458,219.492,-50.2834,215.645,197.783,163.66,182.385,195.952
13,0,118.259,390.994,1156.91,154.675,118.299,1142.02,-73.938,275.196,1214.85,-55.6538,172.068,1212,135.166,469.986,885.374,208.569,459.162,705.237,124.791,456.792,526.132,-14.627,407.527,349.525,-91.8479,351.171,335.313,79.6932,406.542,227.379,87.9185,66.8016,858.715,54.1222,104.466,665.771,20.6064,111.406,460.554,14.5534,165.407,219.504,-53.2889,215.609,197.821,160.662,182.381,195.86
14,0,117.644,390.465,1157.58,154.556,117.937,1141.71,-74.2066,274.256,1215.3,-55.717,171.193,1212.16,135.415,469.561,886.326,210.358,458.276,706.669,130.552,456.222,526.048,-3.90328,407.655,345.459,-80.931,351.618,327.921,95.3829,407.067,227.447,86.8695,66.661,858.484,52.6559,104.403,665.642,18.5155,111.393,460.536,11.6034,165.356,219.517,-56.3018,215.572,197.85,157.653,182.364,195.772
15,0,117.059,389.996,1158.24,154.437,117.63,1141.38,-74.469,273.372,1215.76,-55.7654,170.372,1212.32,135.552,469.168,887.255,211.67,457.359,707.895,136.102,455.646,525.681,7.12251,407.786,340.93,-69.6055,352.101,319.984,111.362,407.487,227.343,85.7947,66.544,858.249,51.1962,104.372,665.51,16.4304,111.383,460.518,8.64212,165.307,219.529,-59.3223,215.535,197.869,154.634,182.337,195.688
16,0,116.51,389.586,1158.89,154.318,117.376,1141.03,-74.7232,272.546,1216.21,-55.7996,169.607,1212.47,135.586,468.811,888.159,212.521,456.419,708.916,141.433,455.071,525.052,18.4064,407.917,336.024,-57.901,352.605,311.627,127.517,407.809,227.126,84.6943,66.4514,858.01,49.7381,104.37,665.376,14.3456,111.376,460.499,5.66783,165.259,219.539,-62.3508,215.499,197.874,151.603,182.3,195.604
17,0,115.999,389.235,1159.51,154.198,117.174,1140.66,-74.9667,271.783,1216.67,-55.82,168.901,1212.62,135.529,468.492,889.03,212.929,455.462,709.729,146.534,454.503,524.183,29.8979,408.049,330.831,-45.8563,353.117,302.978,143.735,408.042,226.858,83.5693,66.3844,857.766,48.277,104.395,665.237,12.2556,111.37,460.477,2.67914,165.212,219.546,-65.3878,215.463,197.864,148.56,182.254,195.52
18,0,115.53,388.942,1160.11,154.078,117.022,1140.27,-75.1967,271.084,1217.12,-55.8271,168.258,1212.77,135.388,468.213,889.862,212.914,454.496,710.338,151.393,453.95,523.101,41.5392,408.182,325.447,-33.5213,353.625,294.167,159.907,408.201,226.599,82.4218,66.3444,857.518,46.8084,104.446,665.094,10.1555,111.363,460.452,-0.325141,165.167,219.548,-68.4339,215.429,197.837,145.507,182.203,195.433
19,0,115.108,388.705,1160.67,153.957,116.918,1139.86,-75.4104,270.455,1217.56,-55.8214,167.679,1212.91,135.172,467.975,890.647,212.5,453.53,710.743,155.998,453.416,521.833,53.2662,408.315,319.963,-20.9567,354.12,285.326,175.929,408.301,226.401,81.2544,66.3332,857.263,45.3284,104.521,664.947,8.04085,111.355,460.422,-3.34586,165.123,219.545,-71.4896,215.395,197.794,142.443,182.146,195.343
20,0,114.738,388.524,1161.2,153.835,116.859,1139.42,-75.6046,269.898,1217.98,-55.8031,167.17,1213.03,134.887,467.777,891.376,211.711,452.571,710.949,160.335,452.907,520.408,65.008,408.449,314.471,-8.23518,354.595,276.579,191.7,408.358,226.311,80.0711,66.3527,857.003,43.8334,104.618,664.794,5.90779,111.343,460.386,-6.3836,165.082,219.536,-74.5556,215.362,197.736,139.369,182.086,195.248
21,0,114.424,388.398,1161.7,153.712,116.843,1138.97,-75.7758,269.417,1218.4,-55.7725,166.733,1213.15,134.536,467.62,892.04,210.573,451.628,710.963,164.39,452.429,518.856,76.6882,408.587,309.056,4.55909,355.046,268.048,207.125,408.389,226.36,78.8762,66.4052,856.736,42.3206,104.737,664.636,3.75314,111.328,460.345,-9.43862,165.042,219.521,-77.6326,215.329,197.662,136.285,182.022,195.148
22,0,114.171,388.324,1162.15,153.59,116.868,1138.5,-75.9205,269.017,1218.79,-55.7296,166.372,1213.25,134.124,467.501,892.628,209.113,450.707,710.79,168.15,451.986,517.204,88.2249,408.729,303.797,17.331,355.47,259.841,222.112,408.41,226.568,77.6747,66.4928,856.462,40.7877,104.876,664.471,1.57448,111.309,460.298,-12.511,165.004,219.501,-80.7211,215.295,197.576,133.19,181.957,195.043
23,0,113.985,388.303,1162.55,153.468,116.931,1138.01,-76.0349,268.7,1219.15,-55.6744,166.09,1213.33,133.652,467.42,893.13,207.362,449.817,710.44,171.6,451.581,515.482,99.5325,408.878,298.764,29.9759,355.868,252.058,236.573,408.436,226.935,76.472,66.6176,856.181,39.2334,105.034,664.301,-0.62988,111.286,460.246,-15.6004,164.967,219.475,-83.822,215.26,197.479,130.087,181.889,194.933
24,0,113.87,388.331,1162.9,153.347,117.031,1137.5,-76.1153,268.471,1219.49,-55.6065,165.89,1213.39,133.121,467.372,893.536,205.347,448.963,709.922,174.727,451.218,513.714,110.523,409.034,294.013,42.3811,356.244,244.782,250.425,408.476,227.448,75.2734,66.7815,855.892,37.657,105.211,664.126,-2.86089,111.26,460.19,-18.7066,164.932,219.446,-86.9358,215.222,197.375,126.973,181.819,194.82
25,0,113.832,388.409,1163.2,153.229,117.164,1136.98,-76.1579,268.333,1219.8,-55.5254,165.775,1213.43,132.531,467.356,893.838,203.1,448.151,709.247,177.517,450.899,511.926,121.106,409.201,289.592,54.4289,356.601,238.082,263.585,408.538,228.072,74.0842,66.986,855.596,36.0586,105.407,663.944,-5.11882,111.232,460.129,-21.8292,164.898,219.413,-90.0633,215.179,197.266,123.848,181.746,194.704
26,0,113.875,388.534,1163.44,153.114,117.328,1136.44,-76.1588,268.288,1220.07,-55.4306,165.748,1213.45,131.883,467.367,894.026,200.648,447.389,708.428,179.959,450.624,510.137,131.193,409.378,285.532,65.999,356.945,232.007,275.978,408.623,228.76,72.9092,67.2322,855.291,34.4393,105.622,663.757,-7.40328,111.204,460.067,-24.9677,164.866,219.378,-93.205,215.133,197.155,120.712,181.67,194.588
27,0,114.004,388.704,1163.62,153.006,117.522,1135.88,-76.1143,268.339,1220.3,-55.321,165.812,1213.44,131.176,467.402,894.095,198.021,446.679,707.478,182.041,450.395,508.365,140.699,409.566,281.852,76.9721,357.282,226.59,287.53,408.73,229.449,71.7526,67.5206,854.977,32.8006,105.856,663.564,-9.71332,111.177,460.002,-28.1218,164.835,219.343,-96.3614,215.08,197.045,117.564,181.588,194.473
