Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,108.853,427.918,1155.68,95.5709,153.843,1141.49,-106.909,343.535,1205.59,-105.114,238.859,1196.55,41.0417,493.906,869.959,25.9137,465.401,669.034,22.9161,461.332,465.313,27.9503,400.32,240.012,-27.8965,348.071,191.683,187.922,404.092,195.661,36.0718,106.645,844.311,10.1031,133.944,650.755,-93.4598,131.914,466.098,-206.605,170.844,252.703,-278.833,223.743,250.007,-76.6625,176.157,190.787
2,0,108.592,428.927,1154.94,93.8675,154.859,1140.89,-107.828,345.253,1204.91,-106.427,240.732,1195.24,39.9854,494.975,869.691,23.7988,466.68,668.711,20.3672,461.805,464.953,25.2065,400.49,239.62,-31.0446,347.969,191.613,184.811,403.902,195.591,42.0266,106.593,844.512,21.4564,132.611,650.772,-86.4261,130.961,468.681,-205.645,170.584,259.649,-276.503,223.54,261.239,-82.4047,176.463,190.054
3,0,108.273,429.897,1154.24,92.2079,155.836,1140.37,-108.749,346.895,1204.27,-107.719,242.521,1194.03,38.8966,495.998,869.425,21.6846,467.898,668.402,17.8041,462.266,464.61,22.4341,400.672,239.24,-34.1987,347.887,191.539,181.695,403.727,195.524,47.78,106.538,844.814,32.5412,131.389,651.01,-79.353,130.081,471.433,-204.328,170.363,266.576,-273.885,223.397,272.196,-87.3657,176.713,189.787
4,0,107.899,430.831,1153.6,90.592,156.773,1139.92,-109.673,348.462,1203.68,-108.99,244.225,1192.91,37.7754,496.974,869.162,19.5713,469.056,668.107,15.2269,462.717,464.284,19.633,400.867,238.873,-37.3586,347.825,191.46,178.573,403.567,195.46,53.3318,106.479,845.217,43.357,130.277,651.469,-72.2408,129.276,474.351,-202.656,170.181,273.481,-270.981,223.314,282.876,-91.5435,176.906,189.985
5,0,107.468,431.726,1153.01,89.02,157.67,1139.55,-110.598,349.954,1203.13,-110.238,245.845,1191.88,36.622,497.904,868.902,17.4591,470.152,667.826,12.6361,463.155,463.976,16.8032,401.072,238.519,-40.5242,347.781,191.378,175.446,403.422,195.398,58.6812,106.416,845.72,53.9025,129.274,652.149,-65.0908,128.545,477.435,-200.627,170.039,280.357,-267.792,223.292,293.269,-94.9332,177.042,190.645
6,0,106.982,432.585,1152.46,87.492,158.527,1139.24,-111.525,351.371,1202.63,-111.464,247.379,1190.94,35.4366,498.787,868.644,15.3484,471.186,667.56,10.0323,463.581,463.685,13.9446,401.288,238.179,-43.6952,347.755,191.291,172.313,403.291,195.339,63.827,106.351,846.323,64.1754,128.382,653.049,-57.9052,127.889,480.677,-198.241,169.935,287.192,-264.322,223.328,303.355,-97.5247,177.122,191.762
7,0,106.439,433.406,1151.96,86.0084,159.345,1139.01,-112.454,352.711,1202.17,-112.669,248.829,1190.09,34.2196,499.623,868.389,13.2401,472.159,667.307,7.41688,463.994,463.411,11.0572,401.513,237.852,-46.8708,347.746,191.2,169.174,403.174,195.283,68.7667,106.283,847.025,74.1713,127.599,654.165,-50.6877,127.307,484.067,-195.499,169.868,293.964,-260.575,223.422,313.102,-99.3014,177.144,193.323
8,0,105.841,434.19,1151.51,84.5699,160.123,1138.85,-113.384,353.977,1201.75,-113.85,250.194,1189.34,32.9715,500.412,868.138,11.1353,473.069,667.069,4.7918,464.391,463.155,8.14119,401.743,237.54,-50.0501,347.753,191.105,166.029,403.069,195.229,73.4971,106.212,847.824,83.8835,126.925,655.493,-43.4434,126.801,487.59,-192.396,169.838,300.637,-256.559,223.572,322.461,-100.24,177.107,195.311
9,0,105.188,434.937,1151.11,83.1773,160.862,1138.77,-114.315,355.166,1201.39,-115.008,251.474,1188.67,31.6932,501.152,867.89,9.03577,473.914,666.845,2.15967,464.77,462.916,5.19706,401.977,237.245,-53.2317,347.772,191.007,162.88,402.976,195.177,78.0138,106.138,848.719,93.3028,126.358,657.025,-36.1791,126.37,491.222,-188.931,169.841,307.166,-252.28,223.774,331.368,-100.309,177.012,197.7
10,0,104.482,435.648,1150.76,81.8317,161.563,1138.75,-115.246,356.279,1201.06,-116.142,252.668,1188.1,30.3856,501.843,867.646,6.94343,474.695,666.634,-0.476167,465.127,462.695,2.2256,402.209,236.966,-56.4138,347.801,190.905,159.725,402.891,195.127,82.3114,106.063,849.705,102.417,125.898,658.754,-28.9027,126.014,494.935,-185.097,169.875,313.492,-247.746,224.023,339.742,-99.4737,176.858,200.455
11,0,103.723,436.323,1150.46,80.5348,162.225,1138.81,-116.176,357.314,1200.79,-117.25,253.777,1187.61,29.05,502.484,867.405,4.86062,475.408,666.438,-3.11178,465.46,462.491,-0.771869,402.436,236.707,-59.5944,347.837,190.8,156.565,402.814,195.078,86.3839,105.988,850.781,111.212,125.542,660.668,-21.623,125.733,498.691,-180.884,169.936,319.543,-242.96,224.312,347.49,-97.6921,176.645,203.529
12,0,102.914,436.962,1150.2,79.2885,162.851,1138.93,-117.103,358.273,1200.55,-118.332,254.799,1187.22,27.6876,503.073,867.17,2.78993,476.052,666.254,-5.74274,465.763,462.305,-3.79347,402.651,236.469,-62.7713,347.877,190.692,153.401,402.741,195.031,90.2248,105.912,851.94,119.67,125.289,662.752,-14.3492,125.525,502.448,-176.282,170.018,325.239,-237.923,224.633,354.507,-94.9227,176.375,206.869
13,0,102.057,437.567,1149.99,78.0952,163.44,1139.12,-118.026,359.153,1200.37,-119.384,255.735,1186.91,26.3,503.608,866.939,0.734024,476.625,666.085,-8.36434,466.032,462.137,-6.83679,402.85,236.252,-65.9421,347.915,190.582,150.234,402.67,194.986,93.8276,105.838,853.178,127.772,125.134,664.988,-7.09014,125.39,506.156,-171.272,170.114,330.49,-232.629,224.975,360.685,-91.1246,176.048,210.409
14,0,101.154,438.137,1149.83,76.9576,163.993,1139.38,-118.942,359.954,1200.22,-120.405,256.583,1186.69,24.8887,504.087,866.714,-1.30446,477.125,665.928,-10.9718,466.262,461.987,-9.89889,403.028,236.058,-69.1046,347.948,190.471,147.065,402.599,194.942,97.1866,105.766,854.488,135.496,125.075,667.357,0.145876,125.323,509.759,-165.834,170.217,335.205,-227.066,225.326,365.914,-86.2612,175.67,214.076
15,0,100.209,438.674,1149.71,75.879,164.512,1139.7,-119.85,360.674,1200.12,-121.392,257.343,1186.56,23.4553,504.509,866.495,-3.32311,477.551,665.783,-13.5606,466.448,461.854,-12.9765,403.179,235.888,-72.2572,347.974,190.358,143.894,402.524,194.9,100.297,105.698,855.863,142.819,125.107,669.836,7.35171,125.321,513.202,-159.943,170.319,339.29,-221.213,225.671,370.091,-80.3031,175.245,217.793
16,0,99.2275,439.178,1149.63,74.8628,164.996,1140.09,-120.746,361.315,1200.07,-122.343,258.016,1186.52,22.0013,504.87,866.281,-5.31992,477.899,665.651,-16.1267,466.585,461.739,-16.0662,403.299,235.741,-75.3984,347.987,190.244,140.723,402.443,194.86,103.154,105.634,857.295,149.719,125.226,672.4,14.5216,125.38,516.425,-153.57,170.41,342.658,-215.041,225.995,373.122,-73.2309,174.779,221.476
17,0,98.2129,439.65,1149.59,73.9132,165.448,1140.53,-121.627,361.873,1200.05,-123.253,258.599,1186.55,20.5284,505.17,866.074,-7.2934,478.17,665.53,-18.6667,466.67,461.642,-19.1646,403.384,235.619,-78.5277,347.985,190.131,137.552,402.354,194.823,105.759,105.576,858.775,156.173,125.425,675.022,21.6511,125.491,519.37,-146.683,170.48,345.227,-208.513,226.281,374.933,-65.0368,174.281,225.041
18,0,97.1711,440.09,1149.59,73.0342,165.868,1141.03,-122.489,362.348,1200.08,-124.119,259.093,1186.67,19.0381,505.406,865.872,-9.24276,478.361,665.421,-21.1783,466.697,461.561,-22.2688,403.431,235.521,-81.6457,347.967,190.017,134.381,402.256,194.788,108.11,105.524,860.294,162.158,125.698,677.671,28.737,125.648,521.982,-139.249,170.52,346.932,-201.583,226.512,375.469,-55.7267,173.759,228.409
19,0,96.1086,440.499,1149.62,72.2306,166.257,1141.57,-123.329,362.74,1200.14,-124.938,259.497,1186.86,17.5318,505.576,865.676,-11.168,478.474,665.322,-23.6603,466.665,461.497,-25.3762,403.439,235.446,-84.7536,347.928,189.905,131.213,402.146,194.758,110.211,105.478,861.841,167.655,126.04,680.319,35.7771,125.843,524.21,-131.235,170.518,347.722,-194.203,226.671,374.699,-45.3209,173.224,231.504
20,0,95.0322,440.876,1149.68,71.507,166.615,1142.17,-124.141,363.047,1200.24,-125.704,259.81,1187.12,16.011,505.68,865.485,-13.07,478.507,665.233,-26.1129,466.571,461.448,-28.4853,403.406,235.394,-87.8541,347.87,189.794,128.045,402.025,194.731,112.069,105.44,863.405,172.645,126.442,682.935,42.769,126.064,526.012,-122.609,170.467,347.563,-186.32,226.744,372.621,-33.8542,172.687,234.261
21,0,93.9497,441.223,1149.77,70.8683,166.943,1142.8,-124.921,363.269,1200.38,-126.414,260.033,1187.44,14.4771,505.716,865.299,-14.9503,478.461,665.154,-28.5376,466.415,461.414,-31.5953,403.332,235.364,-90.9506,347.79,189.685,124.879,401.893,194.709,113.693,105.408,864.976,177.113,126.897,685.487,49.7099,126.303,527.353,-113.345,170.359,346.447,-177.882,226.718,369.258,-21.3762,172.161,236.625
22,0,92.8691,441.539,1149.87,70.3195,167.24,1143.47,-125.664,363.406,1200.54,-127.062,260.166,1187.83,12.9317,505.684,865.115,-16.8117,478.338,665.082,-30.9372,466.197,461.394,-34.7064,403.219,235.353,-94.0475,347.689,189.579,121.713,401.749,194.69,115.093,105.381,866.542,181.048,127.398,687.946,56.5954,126.549,528.209,-103.423,170.188,344.384,-168.84,226.582,364.663,-7.9503,171.656,238.557
23,0,91.7992,441.823,1149.99,69.8654,167.507,1144.16,-126.365,363.456,1200.73,-127.644,260.208,1188.27,11.3766,505.585,864.934,-18.6573,478.141,665.018,-33.3158,465.918,461.387,-37.8197,403.067,235.362,-97.1498,347.566,189.477,118.546,401.595,194.675,116.284,105.358,868.089,184.443,127.935,690.283,63.4184,126.791,528.567,-92.8343,169.95,341.411,-159.156,226.33,358.915,6.3467,171.184,240.034
24,0,90.7491,442.075,1150.11,69.5109,167.744,1144.88,-127.018,363.42,1200.94,-128.156,260.159,1188.75,9.81364,505.419,864.754,-20.4911,477.87,664.962,-35.6787,465.582,461.391,-40.9371,402.88,235.388,-100.263,347.424,189.378,115.376,401.432,194.663,117.282,105.337,869.604,187.294,128.501,692.469,70.1683,127.022,528.426,-81.5805,169.643,337.582,-148.802,225.96,352.116,21.4256,170.757,241.048
25,0,89.7284,442.295,1150.24,69.2605,167.949,1145.61,-127.618,363.298,1201.17,-128.591,260.021,1189.27,8.24521,505.188,864.573,-22.3174,477.53,664.911,-38.0318,465.192,461.404,-44.061,402.661,235.429,-103.392,347.263,189.284,112.203,401.262,194.652,118.103,105.316,871.076,189.604,129.088,694.48,76.8304,127.231,527.794,-69.6795,169.271,332.974,-137.765,225.477,344.392,37.1858,170.382,241.607
26,0,88.7465,442.48,1150.36,69.1186,168.122,1146.34,-128.158,363.09,1201.41,-128.947,259.794,1189.83,6.6741,504.894,864.389,-24.1408,477.124,664.865,-40.3817,464.752,461.427,-47.1941,402.414,235.483,-106.542,347.084,189.195,109.023,401.088,194.643,118.768,105.292,872.49,191.377,129.687,696.294,83.3846,127.413,526.695,-57.166,168.838,327.682,-126.053,224.887,335.882,53.5155,170.067,241.737
27,0,87.8133,442.63,1150.46,69.089,168.262,1147.07,-128.634,362.797,1201.66,-129.217,259.479,1190.4,5.10366,504.539,864.202,-25.9659,476.656,664.823,-42.7352,464.268,461.456,-50.3394,402.141,235.549,-109.717,346.89,189.112,105.835,400.912,194.632,119.295,105.263,873.833,192.627,130.291,697.891,89.8059,127.564,525.158,-44.0933,168.353,321.813,-113.693,224.206,326.741,70.2931,169.819,241.475
28,0,86.9382,442.743,1150.54,69.1752,168.366,1147.8,-129.04,362.42,1201.91,-129.399,259.076,1191,3.53788,504.127,864.008,-27.797,476.129,664.784,-45.0992,463.745,461.491,-53.4995,401.848,235.625,-112.922,346.682,189.035,102.637,400.736,194.618,119.703,105.225,875.09,193.368,130.892,699.257,96.0636,127.679,523.224,-30.5349,167.826,315.485,-100.74,223.453,317.131,87.3873,169.639,240.867
29,0,86.1306,442.818,1150.6,69.3801,168.434,1148.5,-129.371,361.96,1202.16,-129.488,258.589,1191.59,1.98148,503.66,863.807,-29.6379,475.548,664.748,-47.4797,463.19,461.53,-56.6764,401.538,235.707,-116.158,346.463,188.964,99.4268,400.564,194.601,120.013,105.176,876.25,193.623,131.482,700.379,102.122,127.759,520.941,-16.5841,167.273,308.822,-87.2709,222.651,307.218,104.658,169.529,239.97
30,0,85.3994,442.852,1150.62,69.7059,168.462,1149.19,-129.621,361.418,1202.4,-129.48,258.017,1192.19,0.439918,503.143,863.597,-31.4915,474.915,664.713,-49.8822,462.608,461.573,-59.8719,401.215,235.794,-119.427,346.234,188.9,96.203,400.398,194.577,120.241,105.113,877.298,193.415,132.056,701.25,107.942,127.806,518.361,-2.35397,166.709,301.95,-73.3872,221.826,297.166,121.958,169.487,238.842
31,0,84.753,442.842,1150.6,70.1542,168.45,1149.84,-129.786,360.798,1202.62,-129.373,257.365,1192.77,-1.08056,502.579,863.375,-33.3599,474.235,664.677,-52.3111,462.007,461.617,-63.087,400.883,235.883,-122.729,345.997,188.843,92.964,400.24,194.545,120.405,105.035,878.223,192.775,132.606,701.866,113.481,127.822,515.541,12.0245,166.153,294.993,-59.2149,221.008,287.135,139.132,169.509,237.54
32,0,84.1989,442.788,1150.53,70.7259,168.395,1150.45,-129.862,360.101,1202.83,-129.164,256.633,1193.34,-2.57298,501.971,863.142,-35.2436,473.511,664.641,-54.7691,461.39,461.662,-66.3218,400.545,235.974,-126.064,345.756,188.792,89.7085,400.092,194.504,120.521,104.94,879.014,191.735,133.128,702.229,118.693,127.814,512.538,26.4047,165.625,288.069,-44.9007,220.228,277.274,156.023,169.59,236.12
33,0,83.744,442.686,1150.41,71.4209,168.293,1151.02,-129.846,359.329,1203.01,-128.851,255.825,1193.88,-4.02965,501.322,862.894,-37.1419,472.744,664.603,-57.2576,460.764,461.708,-69.576,400.203,236.063,-129.429,345.511,188.747,86.4353,399.956,194.453,120.601,104.826,879.662,190.333,133.616,702.344,123.535,127.787,509.41,40.6283,165.143,281.284,-30.6086,219.515,267.722,172.468,169.723,234.629
34,0,83.3939,442.534,1150.23,72.2385,168.144,1151.55,-129.734,358.486,1203.16,-128.434,254.943,1194.38,-5.4423,500.637,862.632,-39.0522,471.937,664.562,-59.7756,460.132,461.752,-72.8486,399.862,236.149,-132.821,345.265,188.707,83.1434,399.832,194.39,120.658,104.693,880.159,188.607,134.066,702.219,127.963,127.75,506.212,54.529,164.725,274.735,-16.5156,218.896,258.599,188.308,169.899,233.108
35,0,83.1533,442.329,1150,73.177,167.943,1152.02,-129.524,357.574,1203.29,-127.912,253.99,1194.85,-6.80218,499.917,862.354,-40.9703,471.091,664.516,-62.3206,459.496,461.795,-76.1383,399.521,236.232,-136.238,345.02,188.672,79.8319,399.722,194.316,120.7,104.54,880.5,186.598,134.474,701.866,131.938,127.71,502.996,67.9379,164.388,268.501,-2.80562,218.394,250.007,203.386,170.111,231.584
