Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,EO,Gracilis,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0170898,0.0308228,-0.0317383,-0.00976562,0.032959,0.0180054,0.0222778,0.0167847,0.0335693,0.0317383,-0.0210571,-0.0354004,0.0338745
1,1,0.0354004,0.0299072,-0.00244141,0.012207,0.0326538,0.0341797,0.00457764,0.022583,0.00152588,0.0289917,-0.0228882,0.0183105,0.0640869
1,2,0.0259399,0.0326538,0.0656128,0.0167847,0.015564,0.03479,0.0326538,0.000305176,0.0195312,-0.0320435,-0.017395,0.0177002,0.0543213
1,3,0.015564,0.0488281,0.0445557,0.0262451,0.0320435,0.0289917,0.0213623,0.0262451,0.00305176,0.00518799,-0.0222778,0.0390625,0.0637817
1,4,0.0366211,0.0424194,0.0628662,0.0640869,0.0256348,0.022583,0.00213623,0.0265503,0.0183105,0.0146484,-0.0238037,0.0204468,0.0378418
2,0,0.0012207,0.0299072,0.0650024,0.0204468,0.0369263,0.0314331,0.0274658,0.0088501,0.0177002,0.0131226,-0.010376,0.0180054,0.0350952
2,1,0.0427246,0.0350952,0.11322,0.0106812,0.0469971,0.0543213,0.0192261,0.0167847,0.0088501,0.0262451,-0.0186157,0.0366211,0.00793457
2,2,0.0387573,0.0177002,0.127563,0.0106812,0.0259399,0.0149536,0.0274658,0.0231934,-0.0299072,0.0128174,-0.0393677,0.0918579,0.0238037
2,3,0.0186157,0.0244141,0.0921631,0.0100708,0.0231934,-0.0247192,0.0299072,0.0183105,0.0222778,0.0164795,-0.0189209,0.0405884,0.03479
2,4,0.0268555,0.06073,0.116272,0.0250244,0.0231934,0.0167847,0.0219727,0.0219727,0.0311279,0.0204468,-0.0161743,0.0558472,0.0152588
3,0,0.0271606,0.0250244,0.0646973,0.0292969,0.0369263,0.0128174,0.0305176,0.0170898,0.020752,0.00823975,-0.0161743,0.0210571,0.0280762
3,1,0.0231934,0.0271606,0.0613403,0.0524902,0.0253296,0.0402832,-0.000915527,0.0134277,0.012207,0.00305176,-0.012207,0.0201416,0.0146484
3,2,0.0189209,0.0241089,0.00305176,0.0311279,-0.0396729,0.0186157,0.0228882,-0.0012207,-0.00701904,0.0195312,-0.0137329,0.0170898,0.0253296
3,3,0.0125122,0.0305176,0.032959,0.0250244,0.0616455,0.0610352,0.0234985,0.00579834,0.0137329,0.0393677,-0.0183105,0.0222778,0.0204468
3,4,0.0146484,-0.0170898,0.0106812,0.0302124,0.0265503,0.0332642,0.0183105,0.015564,0.0192261,0.0167847,-0.0253296,0.0140381,0.0250244
4,0,0.0170898,0.00549316,-0.0143433,0.0341797,-0.0253296,0.0308228,0.0305176,-0.0210571,0.0164795,0.0198364,-0.0164795,0.0119019,0.0308228
