Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,Gracilis,EO,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0259399,0.0665283,0.0335693,0.0415039,0.0448608,0.00640869,0.0247192,0.283508,0.0088501,0.00793457,-0.0244141,0.0149536,0.0152588
1,1,0.0302124,0.0268555,0.0335693,0.015564,0.045166,-0.055542,-0.00457764,0.239868,0.0119019,0.0680542,-0.0204468,0.0265503,-0.0299072
1,2,0.0302124,0.0338745,-0.00762939,0.0283813,0.0311279,-0.484009,-0.000915527,0.258789,0.0234985,0.0128174,-0.0231934,0.0201416,0.0143433
1,3,0.0189209,0.0460815,0.027771,0.0137329,0.0274658,-0.562439,0.0616455,0.181274,0.00854492,0.0186157,-0.0241089,0.0292969,0.0204468
1,4,-0.00213623,0.0332642,0.0305176,0.0219727,0.0216675,-0.353088,0.0271606,0.213928,0.0228882,0.0167847,0.00305176,0.00579834,0.0177002
2,0,0.0222778,0.0454712,0.0222778,0.0363159,0.0439453,-0.132141,0.0131226,0.172424,0.03479,-0.00152588,-0.0274658,0.0296021,0.0137329
2,1,0.0137329,-0.00335693,0.0289917,0.0228882,0.0143433,0.0476074,0.0268555,0.211182,0.0378418,0.0170898,-0.0271606,0.0338745,0.020752
2,2,0.0131226,0.0808716,0.0216675,0.0228882,0.0643921,-0.0698853,0.027771,0.246582,0.015564,0.022583,-0.0228882,0.0247192,0.00976562
2,3,0.0152588,0.022583,0.0354004,0.0357056,0.0350952,-0.368958,0.0314331,0.186157,0.00244141,-0.00518799,-0.00793457,0.0125122,0.0360107
2,4,0.0149536,0.0363159,0.0247192,0.0308228,0.0338745,-0.435486,0.0274658,0.177307,0.0506592,0.00305176,-0.0149536,0.0311279,0.0222778
3,0,0.0158691,0.0234985,0.0421143,0.0344849,0.0372314,-0.330505,0.0186157,0.160522,0.00701904,0.0134277,-0.043335,0.0137329,0.0189209
3,1,0.00305176,0.0149536,0.0506592,0.0186157,0.0326538,-0.331421,0.0271606,0.224609,0.0201416,0.00427246,-0.0253296,0.0088501,0.0350952
3,2,0.0158691,0.0430298,0.0161743,0.0262451,0.0665283,-0.152283,0.0192261,0.15625,0.0137329,0.010376,-0.0149536,-0.00305176,0.0195312
