Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,116.587,418.911,1137.29,94.8768,152.125,1117.64,-97.7792,344.804,1194.27,-98.7927,238.395,1185.32,120.101,477.091,864.401,144.388,434.232,668.001,138.243,416.095,461.417,90.6688,354.398,241.822,23.8627,308.412,195.909,242.268,344.398,195.892,29.4827,104.874,825.568,-0.902658,130.901,633.252,-145.021,143.01,474.719,-290.972,195.88,327.778,-369.952,235.477,349.626,-246.095,224.383,183.926
2,0,116.106,420.532,1136.82,94.7373,152.876,1114.95,-98.5744,344.83,1192.29,-99.238,238.994,1182.25,116.945,479.215,861.661,144.507,435.455,666.059,133.681,417.149,459.226,82.1678,354.821,241.315,14.6052,308.767,196.075,233.103,344.502,195.416,36.2441,103.45,823.654,9.61765,127.971,630.135,-137.296,140.283,476.744,-288.259,194.784,335.782,-364.648,235.574,361.592,-253.262,224.198,188.878
3,0,115.512,422.104,1136.43,94.5632,153.616,1112.62,-99.4136,344.841,1190.54,-99.7281,239.528,1179.53,113.67,481.13,859.139,143.937,436.596,664.201,128.805,418.1,457.184,73.651,355.172,240.86,5.42209,309.032,196.223,223.98,344.579,194.972,42.4823,102.178,822.013,19.9791,125.264,627.633,-129.342,137.688,478.865,-284.791,193.665,343.302,-358.964,235.615,372.527,-258.277,223.467,193.823
4,0,114.807,423.627,1136.13,94.3545,154.347,1110.66,-100.297,344.836,1189.02,-100.263,239.998,1177.16,110.276,482.835,856.839,142.681,437.656,662.429,123.618,418.948,455.294,65.1185,355.453,240.459,-3.68764,309.21,196.355,214.901,344.63,194.558,48.1994,101.057,820.644,30.1812,122.778,625.745,-121.158,135.225,481.079,-280.569,192.522,350.335,-352.899,235.597,382.428,-261.145,222.197,198.753
5,0,113.99,425.1,1135.91,94.1111,155.068,1109.07,-101.224,344.816,1187.73,-100.842,240.403,1175.13,106.766,484.33,854.764,140.744,438.633,660.745,118.12,419.694,453.557,56.5708,355.665,240.112,-12.7268,309.305,196.476,205.863,344.654,194.175,53.4008,100.085,819.551,40.2227,120.516,624.47,-112.748,132.895,483.385,-275.596,191.355,356.872,-346.457,235.514,391.287,-261.874,220.407,203.65
6,0,113.062,426.521,1135.79,93.8328,155.777,1107.84,-102.195,344.78,1186.67,-101.466,240.744,1173.44,103.146,485.618,852.923,138.136,439.526,659.159,112.317,420.341,451.979,48.0091,355.811,239.821,-21.7008,309.323,196.594,196.863,344.653,193.822,58.0984,99.2589,818.742,50.101,118.48,623.806,-104.116,130.703,485.776,-269.878,190.159,362.894,-339.642,235.352,399.088,-260.483,218.132,208.472
7,0,112.023,427.889,1135.74,93.5193,156.475,1106.97,-103.209,344.727,1185.84,-102.135,241.02,1172.09,99.4211,486.7,851.328,134.876,440.333,657.68,106.213,420.893,450.567,39.4346,355.899,239.59,-30.6179,309.276,196.722,187.897,344.627,193.496,62.312,98.5714,818.225,59.8119,116.673,623.749,-95.2681,128.653,488.241,-263.423,188.928,368.372,-332.462,235.089,405.808,-257.006,215.43,213.163
8,0,110.877,429.199,1135.78,93.1704,157.159,1106.45,-104.266,344.656,1185.23,-102.847,241.23,1171.08,95.5956,487.579,849.989,130.99,441.051,656.323,99.8196,421.358,449.329,30.849,355.937,239.424,-39.4886,309.181,196.878,178.958,344.577,193.198,66.0716,98.0133,818.015,69.3497,115.099,624.291,-86.2158,126.751,490.766,-256.247,187.656,373.268,-324.928,234.698,411.414,-251.493,212.377,217.644
9,0,109.624,430.449,1135.91,92.7856,157.827,1106.29,-105.365,344.564,1184.85,-103.603,241.374,1170.41,91.673,488.262,848.915,126.511,441.676,655.106,93.1463,421.743,448.277,22.2536,355.936,239.329,-48.3256,309.057,197.082,170.037,344.508,192.923,69.4185,97.5724,818.124,78.7063,113.764,625.418,-76.9737,125.007,493.33,-248.367,186.335,377.53,-317.05,234.148,415.866,-244.011,209.07,221.825
