Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,85.4443,411.434,1149.98,111.38,136.868,1144.13,-114.008,302.257,1212.59,-97.7787,197.494,1209.58,21.7193,479.444,863.539,15.0801,469.172,663.406,-98.9967,473.916,532.177,-228.198,418.836,315.969,-305.307,369.866,312.338,-143.67,417.492,187.554,46.71,82.5985,862.202,21.6572,117.545,666.637,-9.14319,121.737,457.623,-5.14635,175.123,243.496,-69.8103,223.168,199.698,144.813,174.192,196.994
2,0,84.3434,410.439,1149.95,110.95,135.703,1143.62,-114.963,300.367,1212.24,-98.4221,195.716,1209.42,27.3765,479.359,864.798,25.4736,469.687,665.404,-90.5809,474.136,536.202,-224.999,418.051,323.551,-301.248,367.932,322.727,-146.402,416.602,191.262,45.3649,81.5733,861.71,18.9906,116.74,666.286,-12.0293,121.347,457.281,-8.08176,174.927,243.228,-72.7481,223.028,199.584,141.821,174.062,196.833
3,0,83.2331,409.479,1149.95,110.48,134.593,1143.11,-115.918,298.56,1211.93,-99.079,194.016,1209.28,32.6755,479.258,866.032,35.3679,470.104,667.373,-82.3508,474.261,539.954,-221.361,417.288,330.364,-296.871,366.089,331.942,-147.893,415.85,194.751,43.9954,80.6119,861.23,16.3621,115.984,665.95,-14.8956,120.988,456.955,-11.0202,174.749,242.976,-75.691,222.906,199.478,138.825,173.936,196.68
4,0,82.1136,408.554,1149.98,109.972,133.539,1142.61,-116.873,296.835,1211.67,-99.7495,192.392,1209.16,37.6162,479.14,867.239,44.763,470.422,669.315,-74.3063,474.292,543.433,-217.283,416.548,336.409,-292.175,364.338,339.981,-148.144,415.238,198.022,42.6016,79.7143,860.762,13.7717,115.277,665.627,-17.742,120.662,456.647,-13.9615,174.587,242.739,-78.6391,222.802,199.381,135.825,173.813,196.535
5,0,80.9848,407.664,1150.02,109.425,132.541,1142.12,-117.827,295.192,1211.45,-100.434,190.844,1209.06,42.1989,479.006,868.42,53.6587,470.642,671.228,-66.4474,474.229,546.639,-212.764,415.83,341.685,-287.159,362.68,346.845,-147.155,414.764,201.072,41.1834,78.8803,860.307,11.2194,114.619,665.319,-20.5685,120.367,456.354,-16.9059,174.443,242.518,-81.5923,222.716,199.292,132.822,173.694,196.399
6,0,79.8468,406.808,1150.09,108.839,131.597,1141.64,-118.781,293.632,1211.28,-101.131,189.374,1208.99,46.4242,478.856,869.574,62.0552,470.763,673.112,-58.7745,474.073,549.571,-207.802,415.135,346.194,-281.817,361.114,352.532,-144.93,414.431,203.901,39.741,78.1099,859.863,8.70523,114.01,665.025,-23.3749,120.104,456.078,-19.8532,174.314,242.312,-84.5506,222.647,199.211,129.815,173.578,196.27
7,0,78.6998,405.987,1150.19,108.214,130.71,1141.17,-119.734,292.154,1211.15,-101.842,187.98,1208.94,50.2928,478.689,870.701,69.9521,470.787,674.967,-51.2878,473.825,552.229,-202.394,414.465,349.934,-276.141,359.642,357.044,-141.473,414.24,206.505,38.2744,77.4026,859.432,6.22932,113.449,664.745,-26.1608,119.872,455.819,-22.8032,174.203,242.122,-87.5141,222.596,199.139,126.805,173.466,196.15
8,0,77.5442,405.202,1150.31,107.551,129.877,1140.71,-120.687,290.759,1211.07,-102.566,186.663,1208.92,53.8064,478.507,871.802,77.3495,470.715,676.79,-43.9879,473.488,554.61,-196.536,413.822,352.907,-270.119,358.266,360.381,-136.794,414.193,208.88,36.784,76.7579,859.013,3.79172,112.936,664.48,-28.9259,119.671,455.575,-25.756,174.107,241.947,-90.4827,222.56,199.074,123.791,173.357,196.037
9,0,76.3803,404.452,1150.45,106.85,129.1,1140.26,-121.639,289.445,1211.02,-103.303,185.422,1208.91,56.9672,478.311,872.875,84.2474,470.546,678.579,-36.8755,473.064,556.714,-190.221,413.209,355.116,-263.736,356.986,362.548,-130.904,414.291,211.022,35.2699,76.1753,858.607,1.39253,112.472,664.228,-31.6695,119.5,455.348,-28.7112,174.026,241.787,-93.4564,222.54,199.018,120.773,173.252,195.932
10,0,75.2089,403.737,1150.62,106.111,128.378,1139.81,-122.591,288.214,1211.02,-104.053,184.258,1208.93,59.7784,478.1,873.919,90.6458,470.284,680.331,-29.9519,472.558,558.538,-183.445,412.629,356.566,-256.969,355.807,363.55,-123.822,414.536,212.927,33.7327,75.6537,858.215,-0.968191,112.055,663.989,-34.391,119.358,455.136,-31.6687,173.959,241.641,-96.4353,222.533,198.969,117.752,173.15,195.833
11,0,74.0307,403.059,1150.8,105.336,127.712,1139.38,-123.541,287.064,1211.07,-104.815,183.171,1208.97,62.2446,477.876,874.934,96.5452,469.93,682.041,-23.2188,471.976,560.082,-176.198,412.087,357.266,-249.796,354.732,363.403,-115.57,414.928,214.593,32.173,75.1921,857.837,-3.29045,111.684,663.765,-37.0897,119.244,454.94,-34.6281,173.906,241.51,-99.4192,222.538,198.928,114.728,173.051,195.739
12,0,72.8469,402.417,1151.01,104.525,127.1,1138.95,-124.489,285.996,1211.15,-105.588,182.16,1209.03,64.3713,477.641,875.919,101.946,469.487,683.705,-16.6783,471.324,561.344,-168.475,411.588,357.228,-242.188,353.764,362.126,-106.182,415.466,216.02,30.5915,74.7893,857.473,-5.57435,111.36,663.553,-39.7646,119.158,454.76,-37.5891,173.865,241.392,-102.408,222.554,198.894,111.701,172.955,195.651
13,0,71.6589,401.812,1151.24,103.68,126.544,1138.53,-125.435,285.009,1211.27,-106.372,181.225,1209.11,66.1657,477.397,876.871,106.851,468.959,685.317,-10.3334,470.611,562.322,-160.269,411.136,356.47,-234.118,352.909,359.749,-95.6936,416.145,217.211,28.9894,74.4439,857.123,-7.82015,111.08,663.354,-42.4152,119.097,454.593,-40.5515,173.835,241.287,-105.402,222.578,198.867,108.671,172.862,195.567
14,0,70.4684,401.246,1151.49,102.802,126.042,1138.12,-126.378,284.103,1211.43,-107.167,180.366,1209.21,67.6364,477.146,877.79,111.261,468.35,686.871,-4.18748,469.843,563.018,-151.577,410.737,355.019,-225.557,352.172,356.313,-84.1534,416.957,218.174,27.3678,74.1543,856.79,-10.0283,110.844,663.168,-45.0409,119.06,454.441,-43.5148,173.815,241.194,-108.401,222.608,198.845,105.637,172.771,195.486
15,0,69.2773,400.719,1151.76,101.893,125.594,1137.71,-127.318,283.278,1211.62,-107.97,179.583,1209.32,68.7938,476.89,878.674,115.179,467.666,688.358,1.75503,469.033,563.433,-142.398,410.397,352.905,-216.48,351.559,351.87,-71.6168,417.891,218.921,25.7282,73.919,856.472,-12.1994,110.65,662.994,-47.6411,119.045,454.303,-46.4789,173.802,241.112,-111.404,222.641,198.83,102.601,172.684,195.407
16,0,68.0881,400.231,1152.04,100.955,125.201,1137.31,-128.252,282.533,1211.84,-108.78,178.876,1209.45,69.6496,476.632,879.519,118.609,466.912,689.772,7.48895,468.19,563.568,-132.738,410.122,350.168,-206.866,351.075,346.485,-58.1494,418.93,219.47,24.0723,73.7364,856.171,-14.3346,110.497,662.831,-50.2159,119.051,454.177,-49.4434,173.795,241.041,-114.411,222.675,198.819,99.5618,172.598,195.329
17,0,66.9034,399.785,1152.34,99.9902,124.862,1136.92,-129.18,281.868,1212.1,-109.597,178.244,1209.6,70.2176,476.376,880.326,121.557,466.095,691.105,13.0082,467.325,563.43,-122.606,409.915,346.856,-196.701,350.726,340.237,-43.8264,420.053,219.841,22.4019,73.6049,855.885,-16.4351,110.384,662.678,-52.7655,119.075,454.064,-52.4084,173.793,240.98,-117.423,222.707,198.813,96.5199,172.515,195.251
18,0,65.7264,399.381,1152.64,99.0016,124.576,1136.53,-130.101,281.282,1212.38,-110.418,177.687,1209.75,70.5128,476.124,881.089,124.03,465.223,692.347,18.3056,466.45,563.025,-112.021,409.779,343.024,-185.981,350.516,333.219,-28.733,421.236,220.061,20.7191,73.523,855.617,-18.5024,110.31,662.536,-55.2904,119.115,453.963,-55.3737,173.794,240.927,-120.439,222.737,198.811,93.4751,172.434,195.173
