Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,EO,Gracilis,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
8,2,0.0222778,-0.00244141,0.00946045,-3.17444,0.0192261,0.0158691,0.0259399,0.0302124,0.00762939,0.484619,-0.0228882,0.00305176,0.0177002
8,3,-0.000915527,0.000610352,0.0164795,-3.12836,0.0164795,0.0302124,0.0286865,0.039978,0.0354004,0.458069,-0.0238037,0.00488281,-0.0445557
8,4,0.0244141,0.00946045,-0.0088501,-2.9715,0.0283813,0.0271606,0.0396729,0.0286865,0.0247192,0.375061,-0.0158691,0.0137329,0.0210571
9,0,0.0140381,-0.00427246,0.00976562,-2.92572,-0.015564,0.0204468,0.0558472,0.0558472,0.0439453,0.337524,-0.0131226,0.00305176,0.00457764
9,1,0.0180054,0.00152588,0.0241089,-2.65259,0.0271606,0.0289917,0.0119019,0.0234985,0.0302124,0.299377,-0.015564,0.0186157,0.00762939
9,2,0.0143433,0.0106812,0.015564,-1.08887,0.0787354,0.0213623,0.0338745,0.0311279,0.0192261,0.238342,-0.0192261,-0.0271606,0.0189209
9,3,0.020752,0.0012207,0.0271606,1.0202,0.0482178,0.0280762,0.0323486,0.0650024,0.0247192,0.214233,-0.00396729,0.0415039,0.0106812
9,4,0.0183105,0.0112915,0.00823975,2.94769,0.0354004,0.0299072,0.0448608,0.0186157,0.0247192,0.147095,-0.0152588,0.00915527,0.0161743
10,0,0.00579834,0.0653076,0.00793457,3.30383,0.0592041,0.0366211,0.045166,0.038147,0.022583,0.132446,-0.0213623,0.00793457,0.0100708
10,1,0.0189209,0.000915527,0.0125122,3.3136,0.00579834,0.0259399,0.0314331,0.0317383,0.0250244,0.115662,-0.0256348,0.0308228,0.0192261
10,2,0.0222778,0.0152588,0.0253296,3.34106,0.0134277,0.0164795,0.0579834,0.0421143,0.0234985,0.0869751,-0.0241089,0.00671387,0.0247192
10,3,0.0234985,0.0152588,0.027771,3.2428,0.0192261,0.0192261,0.0469971,0.0274658,-0.00366211,0.0820923,-0.0189209,0.00640869,0.00823975
10,4,0.0183105,0.0424194,0.0198364,3.15857,0.0088501,0.0128174,0.0296021,0.0140381,0.0265503,0.0476074,-0.0369263,0.0250244,0.020752
11,0,0.0241089,0.0164795,0.0112915,3.02673,0.0256348,0.0192261,0.0485229,0.0216675,0.0256348,0.0341797,-0.0280762,-0.0106812,0.0143433
11,1,0.0128174,-0.0112915,0.0201416,2.50916,0.0350952,0.043335,0.00976562,0.0283813,0.0250244,-0.0109863,-0.0180054,0.000915527,0.0180054
11,2,0.00732422,-0.00671387,0.0296021,0.897217,0.022583,0.0183105,0.038147,0.0167847,0.0259399,-0.0164795,-0.0088501,0.0238037,-0.00915527
11,3,-0.0128174,-0.0128174,0.0140381,-1.20911,0.0137329,0.0292969,0.0479126,0.0311279,0.0183105,-0.0375366,-0.0204468,0.020752,0.00213623
11,4,0.0213623,0.0134277,0.0286865,-3.18787,0.00335693,0.0115967,0.03479,0.0164795,0.0299072,-0.0296021,0.00610352,0.0149536,0.0137329
12,0,0.0323486,0.00549316,0.0717163,-3.18634,0.0286865,0.0012207,0.0350952,0.0482178,0.0292969,-0.0506592,-0.0378418,0.0268555,0.0271606
12,1,0.0280762,0.0177002,0.0305176,-3.16345,0.022583,0.0271606,0.0418091,0.0354004,0.0238037,-0.0689697,-0.0219727,0.0183105,0.0195312
12,2,0.0222778,0.00488281,0.00671387,-3.17963,0.0219727,0.0341797,0.0280762,0.0247192,0.00335693,-0.0491333,-0.0231934,0.0216675,0.00427246
12,3,0.0338745,0.0500488,0.0195312,-3.08075,0.0463867,0.0140381,0.0152588,0.0137329,0.0326538,-0.0683594,-0.0146484,0.0241089,0.015564
12,4,0.0332642,0.0439453,-0.0308228,-3.03833,0.0427246,0.0198364,0.0509644,0.0262451,0.0500488,-0.067749,-0.022583,0.0238037,0.010376
13,0,0.0152588,0.0701904,0.0344849,-2.88666,0.0234985,-0.0216675,0.0265503,0.0350952,0.0125122,-0.0949097,-0.0296021,0.0210571,0.0308228
13,1,0.0164795,0.0140381,0.00183105,-2.67456,0.0201416,0.0125122,0.0457764,0.0485229,0.0308228,-0.130005,-0.0335693,0.0134277,0.010376
13,2,0.0265503,-0.000915527,0.010376,-1.03149,0.020752,0.0311279,0.0320435,-0.00335693,0.0292969,-0.0836182,-0.0198364,0.0250244,0.0143433
13,3,0.0100708,-0.0134277,0.0335693,0.969849,0.022583,0.0146484,0.0283813,0.0186157,0.0326538,-0.107117,-0.0216675,0.0259399,0.0100708
13,4,0.0256348,0.00793457,0.022583,2.9538,0.0308228,0.0408936,0.0186157,0.022583,0.0360107,-0.0973511,0.0100708,0.0216675,0.0198364
14,0,0.0326538,0.0219727,0.0332642,3.302,0.0283813,0.038147,0.0344849,0.0247192,0.0219727,-0.110168,-0.0408936,0.0299072,0.0186157
14,1,0.0320435,0.0262451,0.0259399,3.33191,0.0192261,0.0195312,0.0192261,0.0369263,0.0430298,-0.107422,-0.0720215,0.012207,0.03479
14,2,0.0137329,0.00732422,0.022583,3.30933,0.0183105,0.0363159,0.0375366,0.0238037,0.012207,-0.121155,-0.0305176,0.0341797,0.0146484
14,3,0.0143433,0.0274658,-0.00915527,3.22998,0.00305176,0.0296021,0.0335693,0.0234985,0.0183105,-0.124817,-0.0146484,0.0012207,0.00793457
14,4,0.0256348,0.0088501,0.0183105,3.13171,0.0204468,0.0247192,0.0152588,0.0332642,-0.00427246,-0.124817,-0.0320435,-0.00549316,0.0354004
15,0,0.0460815,0.012207,0.020752,3.00934,0.039978,0.00457764,-0.00549316,0.00823975,0.0286865,-0.240479,-0.0268555,0.0213623,0.0186157
15,1,0.0256348,0.0210571,-0.0100708,2.71851,0.00610352,0.0140381,0.038147,0.0418091,0.0219727,-1.5271,-0.0308228,0.022583,0.0189209
15,2,0.0125122,0.0115967,0.0268555,1.12274,0.0262451,0.0296021,0.0372314,0.0424194,0.015564,-1.65314,-0.0320435,0.00915527,-0.00213623
15,3,0.0198364,0.00305176,0.0561523,-0.905151,0.0180054,0.0708008,0.0289917,0.0402832,0.0280762,-1.36139,-0.0253296,0.0180054,0.0357056
