Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,Gracilis,EO,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0418091,0.032959,0.0354004,0.0305176,0.0326538,0.0250244,0.0213623,0.00335693,0.0210571,-0.0683594,-0.0585938,0.0332642,0.0247192
1,1,0.027771,0.0280762,0.0112915,0.0357056,0.022583,0.0128174,0.00274658,0.0106812,0.0234985,-0.0802612,-0.0262451,-0.0292969,0.0283813
1,2,0.0531006,0.0350952,0.017395,0.00549316,0.0201416,0.010376,0.0262451,-0.012207,0.0222778,-0.0857544,-0.0393677,0.0183105,0.0314331
1,3,0.0271606,0.0384521,0.0238037,0.0180054,0.0268555,0.000610352,0.0244141,-0.00610352,0.0115967,-0.0631714,-0.0268555,0.0228882,0.0454712
1,4,0.0372314,0.039978,0.0445557,0.0286865,0.0341797,0.0012207,0.0302124,-0.00244141,0.0109863,-0.0744629,-0.0332642,0.0390625,0.0488281
2,0,0.0289917,0.0216675,0.0265503,0.0314331,0.0302124,0.00701904,0.0234985,0.0115967,0.0216675,-0.111389,-0.0253296,0.0259399,-0.010376
2,1,0.0445557,0.038147,0.0268555,0.00488281,0.0164795,0.0100708,-0.0445557,-0.0161743,0.0134277,-0.118713,-0.0158691,0.0250244,0.0283813
2,2,0.0332642,0.0259399,0.0268555,0.0366211,0.0268555,0.010376,0.00762939,-0.00518799,0.00640869,-0.0686646,-0.0283813,0.0305176,0.0234985
2,3,0.0402832,0.0271606,0.0491333,0.0137329,0.0234985,-0.027771,0.0201416,0.0115967,-0.0384521,-0.050354,-0.0292969,0.0134277,0.0390625
2,4,0.03479,0.0341797,0.0320435,0.0216675,0.0198364,0.0088501,0.0128174,0.00610352,0.017395,-0.0518799,-0.0216675,0.017395,0.0357056
3,0,0.0323486,0.0244141,0.00793457,0.0460815,0.0311279,0.0140381,0.0204468,0.00915527,0.020752,-0.0665283,-0.0299072,0.0265503,0.0268555
3,1,0.0436401,0.0296021,0.0540161,0.0323486,0.0308228,0.012207,0.0262451,0.0149536,0.0378418,-0.0473022,-0.0253296,0.0350952,0.0314331
3,2,0.0244141,0.0469971,0.0326538,0.0442505,0.0100708,0.015564,0.0332642,0.0286865,0.00732422,-0.032959,-0.0408936,0.0296021,0.0299072
3,3,0.0527954,0.0335693,0.0311279,0.0228882,-0.017395,0.0234985,0.0146484,0.00976562,0.0131226,-0.0332642,-0.0100708,0.0164795,0.0396729
3,4,0.022583,0.00793457,0.0210571,0.020752,0.0341797,-0.00549316,0.0186157,0.0170898,0.0134277,-0.0323486,-0.0244141,0.0317383,0.015564
4,0,0.0213623,0.0335693,0.032959,0.0524902,0.00701904,0.0268555,0.0109863,0.00854492,0.00427246,-0.0302124,-0.0265503,0.0161743,0.050354
4,1,0.0292969,-0.0314331,0.0393677,0.032959,0.0601196,0.0253296,0.0161743,0.0222778,0.00854492,-0.0466919,-0.0326538,0.00396729,0.0201416
4,2,0.032959,0.0280762,0.0930786,0.043335,0.0250244,0.0424194,0.0219727,0.0146484,0.0125122,-0.0384521,-0.0170898,0.0180054,0.0323486
4,3,0.0210571,0.0372314,0.0378418,0.015564,0.0469971,0.0265503,-0.00183105,0.0244141,0.0204468,-0.0134277,-0.0183105,0.00732422,0.0372314
4,4,0.0512695,0.0427246,0.0378418,0.0442505,0.0219727,0.0234985,-0.0170898,0.0161743,0.0115967,-0.0299072,-0.0302124,0.0286865,-0.0335693
5,0,0.0222778,0.0332642,0.0302124,0.0265503,0.0317383,0.0189209,0.0250244,0.0164795,0.0256348,-0.0372314,-0.0271606,0.0274658,0.0314331
5,1,0.038147,0.0195312,0.0283813,0.0222778,0.0213623,0.0244141,0.0222778,0.0198364,0.000305176,-0.0204468,0.00579834,0.0360107,0.027771
5,2,0.0213623,-0.000610352,0.0296021,0.0405884,0.0262451,0.0350952,0.0170898,0.015564,0.0152588,-0.0311279,-0.0231934,-0.00579834,0.0357056
