Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,EO,Gracilis,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
8,2,0.00213623,-0.0317383,0.0219727,0.0323486,0.0302124,0.0302124,0.0268555,0.0527954,0.0128174,0.0201416,-0.0393677,0.0170898,0.0296021
8,3,0.00244141,-0.0338745,0.0286865,0.0421143,0.0183105,0.020752,0.0231934,0.0323486,0.00762939,0.0012207,-0.0305176,0.017395,0.0390625
8,4,0.083313,-0.0518799,0.0106812,0.038147,0.0177002,0.050354,0.0485229,0.0354004,0.0375366,0.0137329,-0.0228882,0.0186157,0.0286865
9,0,0.0427246,-0.0738525,0.0262451,0.0143433,0.0244141,0.0305176,0.0460815,0.0360107,0.00274658,0.0149536,-0.0192261,0.0308228,0.0134277
9,1,0.0585938,-0.00579834,0.0167847,0.0161743,0.022583,0.0265503,-0.0283813,0.0305176,0.0213623,0.0866699,-0.0357056,0.0268555,0.0570679
9,2,0.0378418,0.123291,0.0341797,0.0210571,-0.0317383,0.0247192,0.0259399,0.032959,-0.00305176,0.0262451,-0.0259399,0.0222778,0.00457764
9,3,0.0344849,0.0656128,0.0323486,0.0247192,0.0146484,0.0149536,0.0259399,0.0308228,0.0234985,0.0180054,-0.0213623,0.00732422,0.0204468
9,4,0.0262451,0.0213623,0.0241089,0.0271606,-0.0335693,0.027771,0.0140381,0.00518799,0.0244141,0.0177002,-0.0244141,0.00976562,0.0366211
10,0,0.0210571,0.0167847,0.0363159,0.0186157,-0.00335693,0.0164795,0.0308228,0.0152588,0.00793457,0.0244141,-0.00793457,0.0177002,0.0195312
10,1,-0.0012207,-0.0167847,0.0234985,0.0158691,0.0302124,0.0177002,-0.0338745,0.0308228,0.0366211,0.038147,-0.00976562,0.0143433,0.0125122
10,2,0.00549316,0.0109863,0.0457764,0.0100708,0.0161743,0.0296021,0.0292969,0.039978,0.0344849,0.0332642,-0.0231934,0.0149536,-0.0411987
10,3,-0.022583,-0.0140381,0.0262451,0.0119019,0.0405884,0.0189209,0.0183105,0.0439453,0.0491333,0.0219727,0.00946045,0.00793457,0.0186157
10,4,0.00152588,-0.0509644,-0.00213623,0.00671387,0.0274658,0.00213623,0.0222778,0.0494385,0.0378418,0.0137329,-0.0354004,0.0143433,0.0228882
11,0,-0.0128174,-0.0195312,0.0210571,0.0222778,0.0253296,0.0222778,0.0253296,0.0195312,0.0265503,-0.00518799,-0.0241089,0.0222778,0.0549316
11,1,-0.0100708,0.0350952,0.00854492,-0.00213623,0.0323486,0.0256348,0.0463867,0.0317383,0.0341797,-0.0012207,-0.0177002,0.0183105,0.0238037
11,2,0.00671387,0.100403,0.00793457,0.0250244,0.00244141,0.0244141,0.0280762,0.0466919,0.0411987,0.0585938,-0.0308228,0.00579834,-0.00823975
11,3,0.0708008,0.0848389,0.0473022,0.0177002,0.0167847,0.0280762,0.0335693,0.0213623,0.0485229,0.0192261,-0.0250244,0.0201416,0.0408936
11,4,0.03479,0.0564575,0.0292969,0.0253296,0.0231934,-0.00518799,0.0228882,0.0326538,0.0863647,-0.0219727,-0.0262451,0.0671387,0.0292969
12,0,0.00244141,0.0326538,0.0204468,0.012207,-0.00671387,0.0189209,0.0305176,-0.027771,0.0482178,-0.000915527,-0.0247192,0.0256348,0.00366211
12,1,0.050354,-0.017395,0.0222778,0.0198364,0.0201416,0.0204468,0.032959,0.027771,0.0448608,0.0140381,-0.0360107,-0.00793457,-0.0134277
12,2,0.0448608,-0.0421143,0.0115967,0.0250244,0.0183105,0.0210571,0.0305176,0.0305176,0.032959,0.0216675,-0.00640869,-0.000610352,0.0119019
12,3,0.0100708,-0.0753784,0.0344849,0.0143433,0.0186157,0.00701904,0.039978,0.0363159,0.0686646,0.015564,-0.0241089,0.0506592,0.00244141
12,4,0.00183105,-0.0289917,-0.0195312,0.00793457,0.0149536,0.0262451,0.0283813,0.0396729,0.0393677,0.010376,-0.0274658,0.0140381,0.0292969
13,0,0.0189209,0.0259399,0.0357056,0.0726318,0.0479126,0.0186157,0.0286865,0.0460815,0.0396729,0.00610352,-0.0360107,0.0234985,0.0286865
13,1,0.00457764,0.0302124,0.0280762,0.00976562,0.0222778,0.0320435,0.0405884,0.0149536,0.0308228,-0.0183105,-0.0326538,0.0170898,0.0387573
13,2,0.03479,-0.00946045,-0.0234985,0.00457764,0.0259399,-0.00427246,0.0436401,0.0253296,0.0787354,-0.00671387,-0.0299072,0.0238037,0.0231934
13,3,0.0463867,-0.0335693,0.0183105,0.0302124,0.00152588,0.0128174,0.0204468,0.0180054,0.0372314,-0.00946045,-0.0494385,0.00579834,0.0146484
13,4,0.0299072,0.0088501,0.0378418,0.032959,0.0494385,0.0204468,0.06073,0.0344849,0.0332642,-0.00854492,-0.0253296,0.027771,0.00701904
14,0,0.0637817,0.0244141,0.0234985,0.015564,0.0128174,0.0427246,0.0393677,0.0183105,0.0259399,-0.00579834,-0.00213623,0.0167847,0.00610352
14,1,0.0848389,0.17395,-0.00152588,0.0140381,0.0305176,0.0180054,0.0170898,0.0274658,0.0338745,-0.00579834,-0.027771,0.0204468,0.0161743
14,2,0.0619507,0.186768,0.0167847,0.0265503,0.0283813,0.0299072,0.0125122,0.0366211,0.0341797,-0.00823975,-0.0247192,0.027771,-0.0314331
14,3,0.0439453,0.119629,0.0588989,0.0204468,0.00762939,0.0463867,0.0396729,0.0338745,0.027771,-0.0363159,-0.0296021,0.012207,0.0222778
14,4,0.0500488,0.0421143,0.0012207,-0.00305176,0.0402832,0.0244141,0.0646973,0.0271606,0.0268555,-0.0012207,-0.0344849,0.0198364,0.012207
15,0,0.0445557,0.0561523,0.0192261,0.0262451,-0.0213623,0.0201416,0.0213623,0.00854492,0.0213623,-0.0415039,-0.0369263,0.017395,0.0177002
15,1,0.0311279,0.0463867,0.0140381,0.00213623,0.00823975,0.00305176,0.032959,0.0317383,0.0881958,-0.0869751,-0.0292969,-0.0134277,0.0289917
15,2,0.00213623,0.0219727,0.0128174,0.0164795,0.0296021,0.03479,-0.0244141,0.0186157,0.0302124,-0.000610352,-0.0421143,0.0177002,0.0234985
15,3,0.0177002,-0.0314331,0.00793457,0.0201416,0.0244141,0.0268555,0.0320435,0.0283813,0.0204468,-0.180969,-0.0274658,0.0259399,0.0378418
15,4,0.0302124,-0.0366211,-0.00732422,0.0241089,0.022583,-0.0314331,0.027771,0.0302124,0.0152588,0.0570679,-0.0296021,0.0344849,0.0427246
16,0,0.0296021,-0.0506592,0.0167847,0.0296021,0.0415039,0.0296021,0.0265503,0.0112915,0.0286865,0.0427246,-0.0296021,0.0393677,0.0357056
16,1,0.0576782,0.0119019,0.00793457,0.0192261,0.0274658,0.0231934,0.0115967,0.0421143,0.0302124,0.0668335,-0.03479,0.0317383,0.027771
16,2,0.0305176,0.0769043,-0.00396729,0.00274658,-0.0292969,0.0631714,0.0289917,0.0402832,0.0427246,0.0601196,-0.0344849,0.0167847,0.0396729
16,3,0.0384521,0.0817871,-0.00305176,0.0109863,0.0289917,0.0320435,0.022583,0.022583,0.0219727,0.038147,-0.0335693,0.0192261,0.0305176
16,4,0.0167847,0.0146484,0.0100708,0.00762939,0.0726318,0.0213623,0.017395,0.0326538,0.0177002,0.0177002,-0.0204468,0.0350952,0.0241089
17,0,0.0143433,0.0585938,0.0228882,0.0210571,0.0109863,-0.0369263,0.032959,0.0296021,0.0698853,-0.0540161,-0.0338745,0.0134277,0.0231934
17,1,0.0564575,0.0891113,0.0289917,0.022583,0.0189209,0.012207,0.039978,0.0106812,0.0326538,-0.0308228,-0.010376,0.0286865,0.0170898
17,2,-0.00152588,0.0393677,0.0152588,0.088501,0.0170898,0.0134277,-0.0286865,0.027771,0.0320435,-0.273132,-0.0289917,0.0228882,-0.0140381
17,3,0.00335693,0.0186157,-0.00152588,0.0137329,0.0244141,0.0115967,0.0405884,0.0183105,0.0595093,-0.357056,-0.0286865,0.0161743,0.0177002
17,4,0.0457764,0.00732422,-0.0106812,0.0256348,0.00213623,0.0247192,0.0213623,0.0430298,0.020752,-0.326233,-0.0128174,0.00915527,-0.000915527
18,0,-0.00518799,0.0167847,-0.00427246,0.0314331,0.0646973,0.0299072,0.022583,0.062561,0.0454712,-0.284119,-0.0421143,0.00793457,0.00152588
18,1,-0.00457764,0.0927734,0.020752,0.0186157,0.022583,0.0296021,-0.0375366,0.0320435,0.0271606,0.0924683,-0.0213623,0.00396729,-0.0518799
18,2,0.0344849,0.103455,-0.00976562,0.0146484,0.00183105,-0.0088501,0.0204468,0.0473022,0.0665283,0.198975,-0.0314331,0.0582886,0.00671387
18,3,0.0448608,0.0512695,0.0164795,0.0344849,0.0192261,0.0604248,0.0460815,0.0375366,0.015564,0.228577,-0.0241089,0.0317383,0.0283813
18,4,0.0411987,-0.0222778,0.0271606,0.0186157,0.0201416,-0.0201416,0.0158691,0.0195312,0.0238037,-0.299072,-0.0286865,0.0180054,0.0143433
19,0,0.0335693,-0.0616455,-0.00335693,0.0228882,0.0161743,0.0112915,0.00610352,0.0384521,0.0283813,-0.0839233,-0.0311279,0.032959,0.0186157
19,1,0.0793457,-0.0228882,0.00640869,0.0491333,0.012207,0.0146484,-0.00427246,0.0244141,0.0167847,0.123901,-0.0494385,0.0317383,-0.0338745
19,2,0.0390625,0.0299072,-0.000610352,0.0244141,0.00793457,0.0378418,0.0210571,0.0143433,0.00427246,0.228577,-0.0332642,0.0311279,0.0250244
19,3,0.0430298,0.0268555,0.0341797,0.0280762,0.0140381,0.0283813,0.0204468,0.00915527,0.0286865,0.177307,-0.0299072,0.0274658,0.0271606
19,4,0.0411987,0.0558472,0.0268555,0.0216675,0.00671387,0.0186157,0.022583,0.017395,-0.0543213,0.0942993,-0.0231934,-0.0012207,0.0360107
20,0,0.0588989,0.0958252,0.0320435,0.0204468,0.0308228,0.00274658,0.0335693,0.0317383,0.0161743,-0.173035,-0.0363159,0.0338745,0.0363159
20,1,0.0335693,0.0650024,0.0256348,0.0146484,0.0234985,0.00518799,0.0219727,0.0970459,0.0415039,0.0741577,-0.0305176,0.010376,0.0247192
20,2,-0.00549316,0.0601196,0.0323486,0.0189209,0.0198364,0.0115967,0.0128174,0.0289917,0.0344849,0.181274,-0.0286865,0.0283813,0.0286865
20,3,0.0186157,0.0442505,0.0323486,0.0149536,0.0259399,-0.00457764,0.0244141,0.0784302,0.0338745,0.145569,-0.0613403,0.0280762,0.0265503
20,4,0.0424194,0.0271606,0.0146484,0.0152588,0.00579834,-0.0299072,0.012207,0.015564,0.0881958,0.192566,-0.0292969,0.0442505,0.0219727
