Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,Gracilis,EO,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
8,2,0.0646973,0.0158691,0.0195312,0.0640869,0.0259399,0.0222778,-0.012207,-0.0296021,0.0183105,0.0280762,-0.020752,0.0308228,0.0384521
8,3,0.0384521,0.0308228,0.0265503,0.0125122,0.0216675,0.0134277,-0.0582886,-1.5979,0.0131226,0.0161743,-0.017395,0.0198364,0.0372314
8,4,-0.0112915,0.0195312,0.0369263,0.00427246,0.0387573,0.000915527,0.0497437,-2.33368,0.0216675,0.0341797,-0.0387573,0.0268555,0.0115967
9,0,0.0292969,0.00854492,0.0292969,0.0213623,0.0335693,0.0268555,0.00946045,-2.0166,0.0134277,0.0180054,-0.0195312,0.0265503,0.0363159
9,1,0.0289917,0.0424194,0.0201416,0.0183105,0.0314331,0.0283813,-0.0137329,-2.51068,0.0180054,0.0265503,-0.0262451,-0.00518799,0.0421143
9,2,0.0274658,0.0314331,0.0204468,0.0283813,0.0311279,0.00518799,0.00946045,-2.07214,0.0247192,0.0231934,-0.0289917,0.0338745,0.0341797
9,3,0.0259399,0.00396729,0.0177002,0.0296021,0.00946045,0.0216675,0.00946045,-1.85364,0.00762939,0.0213623,-0.0265503,0.0454712,0.0408936
9,4,0.0271606,0.0280762,0.00946045,0.0219727,0.0408936,0.0268555,-0.00701904,-0.73822,0.0201416,0.0308228,-0.0289917,0.0222778,0.0512695
10,0,0.0164795,0.0256348,0.0119019,0.038147,0.0265503,0.0515747,0.0012207,0.968628,0.012207,0.0561523,-0.0177002,0.017395,0.0213623
10,1,0.0402832,0.0384521,0.032959,0.0305176,0.0323486,0.0314331,-0.00701904,1.52405,0.022583,0.0119019,-0.0195312,0.0250244,0.0558472
10,2,0.0192261,0.0238037,0.0360107,0.0241089,0.0598145,0.00671387,-0.00732422,2.04559,0.0234985,0.0393677,-0.0216675,0.0317383,0.0518799
10,3,0.0231934,0.0308228,0.027771,0.0302124,0.0274658,-0.0119019,-0.012207,2.30499,0.0143433,0.0100708,-0.0296021,0.022583,0.0256348
10,4,0.0296021,-0.0271606,0.0411987,0.0231934,0.0518799,0.0201416,0.0131226,2.16797,0.0241089,0.017395,-0.0180054,0.022583,0.0323486
