Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,43.7115,463.873,1139.03,41.5513,189.461,1130.36,-166.79,366.892,1199.47,-159.367,264.131,1188.5,-13.7964,519.805,857.608,-10.0097,482.382,658.934,-81.0985,478.94,495.751,-138.398,405.084,249.19,-209.191,358.239,212.116,6.17878,391.651,189.909,52.028,127.041,846.798,103.573,148.758,664.465,-44.0941,142.054,522.756,-202.139,181.681,380.605,-281.623,223.572,397.652,-142.291,192.147,238.437
2,0,41.1953,464.153,1140.3,39.282,189.925,1133.79,-169.216,366.933,1201.99,-161.645,263.959,1191.67,-18.9823,519.097,858.383,-17.7858,481.746,659.894,-89.6421,478.387,497.039,-147.626,404.89,250.671,-218.083,358.151,213.828,-3.27496,391.338,189.837,54.6354,126.65,850.947,108.489,149.476,669.776,-35.4222,142.026,520.955,-189.039,181.172,372.701,-269.592,223.253,385.117,-120.77,191.204,237.271
3,0,38.7069,464.349,1141.48,37.146,190.314,1137.04,-171.539,366.884,1204.4,-163.815,263.725,1194.7,-24.1873,518.321,859.167,-25.4935,481.092,660.879,-98.117,477.817,498.36,-156.82,404.667,252.184,-227.041,358.048,215.67,-12.7783,391.021,189.748,57.0391,126.323,855.038,112.629,150.171,674.695,-26.8643,142.025,519.127,-175.313,180.71,364.857,-256.681,222.915,372.659,-99.1157,190.296,236.09
4,0,36.2468,464.461,1142.58,35.1433,190.629,1140.13,-173.759,366.745,1206.71,-165.877,263.429,1197.58,-29.4098,517.478,859.958,-33.1324,480.418,661.89,-106.523,477.233,499.714,-165.98,404.414,253.727,-236.063,357.929,217.643,-22.3313,390.7,189.639,59.2374,126.061,859.069,115.993,150.84,679.221,-18.421,142.053,517.273,-160.964,180.294,357.074,-242.893,222.558,360.284,-77.3313,189.427,234.896
5,0,33.8155,464.49,1143.58,33.2741,190.869,1143.04,-175.877,366.517,1208.92,-167.831,263.071,1200.31,-34.6451,516.57,860.758,-40.7007,479.727,662.926,-114.86,476.634,501.099,-175.105,404.132,255.302,-245.146,357.793,219.745,-31.9341,390.374,189.513,61.2259,125.863,863.032,118.587,151.484,683.353,-10.0933,142.108,515.395,-145.998,179.927,349.366,-228.238,222.184,348.008,-55.4229,188.607,233.695
6,0,31.4149,464.437,1144.49,31.5392,191.036,1145.78,-177.891,366.198,1211.02,-169.676,262.65,1202.89,-39.8848,515.599,861.564,-48.1952,479.018,663.986,-123.127,476.022,502.516,-184.195,403.824,256.908,-254.284,357.642,221.971,-41.5872,390.045,189.37,62.9959,125.729,866.911,120.419,152.102,687.092,-1.88405,142.191,513.499,-130.432,179.611,341.752,-212.735,221.793,335.864,-33.4048,187.857,232.497
7,0,29.0479,464.304,1145.32,29.9394,191.131,1148.34,-179.802,365.788,1213.02,-171.41,262.165,1205.32,-45.1152,514.573,862.375,-55.6105,478.293,665.065,-131.322,475.399,503.963,-193.25,403.491,258.547,-263.468,357.475,224.314,-51.2911,389.713,189.211,64.5331,125.653,870.683,121.506,152.693,690.439,6.20151,142.303,511.592,-114.296,179.349,334.269,-196.42,221.387,323.903,-11.303,187.208,231.315
8,0,26.7187,464.094,1146.05,28.4763,191.155,1150.73,-181.607,365.286,1214.9,-173.031,261.614,1207.59,-50.3182,513.499,863.189,-62.9388,477.555,666.162,-139.441,474.768,505.438,-202.272,403.139,260.219,-272.683,357.292,226.767,-61.0463,389.38,189.037,65.818,125.628,874.31,121.873,153.254,693.394,14.1548,142.443,509.686,-97.6373,179.148,326.963,-179.351,220.974,312.196,10.8412,186.701,230.171
9,0,24.4337,463.812,1146.7,27.152,191.111,1152.93,-183.304,364.692,1216.66,-174.534,260.995,1209.7,-55.4713,512.388,864.001,-70.1697,476.806,667.269,-147.482,474.132,506.939,-211.26,402.773,261.926,-281.917,357.094,229.317,-70.8531,389.047,188.852,66.8256,125.642,877.747,121.559,153.783,695.96,21.9627,142.612,507.795,-80.5255,179.018,319.895,-161.61,220.562,300.834,32.9672,186.389,229.086
