Trajectories
100
,,Subj:LASI,,,Subj:RASI,,,Subj:LPSI,,,Subj:RPSI,,,Subj:LTHI,,,Subj:LKNE,,,Subj:LTIB,,,Subj:LANK,,,Subj:LHEE,,,Subj:LTOE,,,Subj:RTHI,,,Subj:RKNE,,,Subj:RTIB,,,Subj:RANK,,,Subj:RHEE,,,Subj:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
13,0,186.755,446.986,1148.8,191.277,179.68,1129.46,-18.0205,349.469,1214.89,-7.31042,244.601,1205.35,152.81,510.809,872.627,158.765,476.954,674.852,118.934,473.669,501.675,138.505,404.195,245.217,81.6396,353.098,199.008,294.782,412.072,198.831,95.0534,136.247,841.013,43.0692,168.404,654.408,-70.136,162.063,472.431,-178.225,201.93,289.266,-263.288,234.298,279.206,-68.4357,223.478,192.57
14,0,187.158,448.566,1148.56,191.687,181.321,1130.1,-17.5663,350.861,1215.11,-6.90455,245.944,1205.37,150.264,511.722,872.339,154.922,477.816,674.601,114.22,474.308,501.462,132.139,404.254,245.011,75.0295,353.103,198.956,288.214,411.966,198.578,99.0605,137.653,840.687,48.7083,168.915,653.648,-67.7558,162.044,473.814,-180.044,201.652,293.277,-265.122,234.055,285.888,-74.5353,223.678,192.495
15,0,187.452,450.178,1148.27,192.005,182.972,1130.75,-17.2131,352.264,1215.33,-6.59883,247.303,1205.4,147.605,512.669,872.046,151.071,478.684,674.358,109.52,474.938,501.285,125.801,404.334,244.848,68.4461,353.117,198.95,281.671,411.853,198.344,103.412,139.029,840.419,54.8786,169.343,652.897,-64.8285,161.962,475.288,-181.299,201.36,297.525,-266.271,233.866,292.955,-80.5382,223.883,192.487
16,0,187.637,451.813,1147.94,192.229,184.625,1131.4,-16.9647,353.68,1215.53,-6.39848,248.679,1205.43,144.843,513.648,871.742,147.212,479.558,674.11,104.834,475.558,501.13,119.491,404.429,244.711,61.8899,353.136,198.972,275.157,411.732,198.122,108.072,140.352,840.217,61.5436,169.689,652.169,-61.3677,161.821,476.855,-181.969,201.055,301.998,-266.713,233.739,300.37,-86.3898,224.074,192.582
17,0,187.716,453.463,1147.56,192.354,186.269,1132.04,-16.8244,355.107,1215.71,-6.30848,250.071,1205.44,141.992,514.653,871.421,143.347,480.435,673.849,100.165,476.167,500.989,113.208,404.534,244.588,55.3614,353.155,199.006,268.674,411.606,197.906,113,141.605,840.091,68.6625,169.959,651.477,-57.3909,161.625,478.516,-182.036,200.735,306.677,-266.433,233.677,308.079,-92.0157,224.23,192.825
18,0,187.691,455.12,1147.14,192.378,187.895,1132.67,-16.7956,356.543,1215.85,-6.3334,251.478,1205.42,139.064,515.68,871.077,139.478,481.315,673.566,95.5135,476.761,500.85,106.951,404.642,244.468,48.8612,353.17,199.039,262.221,411.476,197.693,118.154,142.77,840.047,76.1904,170.156,650.84,-52.9191,161.38,480.27,-181.49,200.402,311.536,-265.431,233.681,316.015,-97.3216,224.33,193.26
19,0,187.564,456.773,1146.67,192.297,189.494,1133.27,-16.8812,357.986,1215.95,-6.47719,252.898,1205.37,136.077,516.723,870.707,135.608,482.192,673.254,90.8813,477.339,500.706,100.719,404.75,244.341,42.3897,353.178,199.062,255.798,411.342,197.48,123.483,143.833,840.091,84.0788,170.287,650.274,-47.977,161.093,482.115,-180.325,200.054,316.542,-263.718,233.748,324.097,-102.193,224.348,193.934
20,0,187.337,458.415,1146.16,192.109,191.054,1133.85,-17.0834,359.432,1216,-6.74296,254.328,1205.28,133.047,517.773,870.31,131.741,483.064,672.91,86.2698,477.898,500.551,94.5126,404.853,244.202,35.9474,353.175,199.071,249.403,411.207,197.264,128.936,144.784,840.228,92.2762,170.36,649.799,-42.5922,160.772,484.047,-178.542,199.694,321.653,-261.319,233.872,332.228,-106.5,224.265,194.888
21,0,187.013,460.036,1145.62,191.81,192.565,1134.4,-17.404,360.876,1215.98,-7.13284,255.764,1205.16,129.993,518.822,869.885,127.883,483.925,672.531,81.6801,478.437,500.379,88.3302,404.946,244.049,29.5351,353.162,199.062,243.033,411.071,197.045,134.46,145.615,840.461,100.729,170.383,649.434,-36.7949,160.424,486.057,-176.145,199.321,326.821,-258.268,234.042,340.303,-110.098,224.059,196.155
22,0,186.595,461.625,1145.05,191.4,194.019,1134.91,-17.8434,362.313,1215.91,-7.64789,257.203,1204.98,126.932,519.861,869.435,124.04,484.77,672.117,77.113,478.952,500.189,82.1724,405.028,243.881,23.1533,353.136,199.038,236.687,410.937,196.822,139.996,146.32,840.793,109.382,170.365,649.199,-30.6173,160.057,488.136,-173.146,198.936,331.99,-254.606,234.245,348.203,-112.836,223.717,197.758
